qstr_Breaking_camp...|Lager wird abgebrochen ...
qstr_{s1}^^{s4}^Kingdom:_|{s1}^^{s4}^Königreich: {s3}^Beziehung: {reg4}^Zentrum: {reg5}^{s5}^{s47}
qstr_Army_size:_{reg26}|Armeegröße: {reg26}
; qstr_{s40}._His_love_intere|{s40}. His love interest is {s39}.
qstr_{s40}._He_is_betroth|{s40}. Er ist verlobt mit {s39}.
qstr_{s1}^^{s2}_of_the_{s|{s1}^^{s2} des {S3}^Beziehung {reg3}^letzter Besuch vor {reg4} Tagen
qstr_{reg2}_warriors_acco|{reg2} Krieger begleiten den König.
qstr_{s2}^^{reg2}_warrior|{s2}^^{reg2} Krieger dienen verschiedenen Fürsten des Reiches.
qstr_{s2}^^{reg2}_warriors|{s2}^^{reg2} Krieger Garnison unserer Städte.
qstr_{s2}^^{reg2}_warriors_|{s2}^^{reg2} Krieger Garnison unserer Festungen.
qstr_Kingdom_Armies_Repor|Königreich Armeen Bericht:^Land Abgabe nicht inbegriffen^^^{s2}
qstr_{s10}Current_fleet:{|{s10}aktuelle Flotte:{s0}^^
qstr_{s10}Refuge:{s0}^^|{s10}Unterschlupf:{s0}^^
qstr_{s10}Port_of_{s9}:{s|{s10}Hafen von {s9}:{s0}^^
qstr_{s10}Landed_ships_ne|{s10}gelandete Schiffe neben {s9}:{s0}^^
qstr_You_don_t_own_any_sh|Ihr besitzt keine Schiffe.
qstr_Your_ships_with_ship|Ihre Schiffe mit Schiffstyp, Name, Aktueller Zustand und Art des Holzes:^^{s10}
qstr_Rents_and_taxes_from|Mieten und Steuern von der {reg59?Königin:Könige} der Betriebe: {reg0} Pennys.
qstr_{s2}^Taxes_from_king|{s2}^Steuern von Reichsfürsten: {reg0} Pennys.
qstr_{s2}^^Kingdom_Total_|{s2}^^Königreich Gesamteinkommen: {reg0} Pennys.
qstr_Payroll_for_the_{reg|Lohn-und Gehaltsabrechnung für die {reg59? Königin:König} der Armee: {reg1} Pennys.
qstr_{s3}^Payroll_for_gar|{s3}^Personalabrechnung Garnisonen: {reg1} Pennys.
qstr_{s3}^^Kingdom_Total_|{s3}^^Gesamtausgaben Königreich: {reg1} Pennys.
qstr_Kingdom_Economy_Repo|Königreich Wirtschaftsbericht:^^Einkommen:^steuerliche Verluste sind variabel^^{s2}^^^Kosten:^diese Werte können variieren aufgrund von Veranstaltungen oder außerordentlichen Kosten.^^{s3}^^^das Ergebnis der Konten des Reiches ist: {reg0} Pennys
qstr_{s4}^^{s2}^Relation:|{s4}^^{s2}^Beziehung: {s3}^Wohlstand: {s50}^Mieten: {reg0}^Tarife: {reg1}
qstr_{s5}^^{s2}^Relation:|{s5}^^{s2}^Beziehung: {s3}^Wohlstand: {s50}^Mieten: {reg0}
qstr_{s2}^No_information.|{s2}^keine Informationen. Dieses Dorf wurde von Banditen besetzt.
qstr_{s6}^^{s2}|{s6}^^{s2}
qstr_{s6}^^{s2}^Relation:|{s6}^^{s2}^Beziehung: {s3}^Wohlstand: {s50}^Mieten: {reg0}
qstr_Kingdom_Centers_Repo|Königreich Zentren Bericht:^^^--Städte-- {s4}^^^--Festungen-- {s5}^^^--Dörfer--{s6}^^
qstr_Appoint_next_marshal|Nächsten Marschall ernennen
qstr_Award_{s12}_as_fief|{s12} als Lehen zusprechen
qstr_Kingdom_Global_Info:|Königreich Globale Info:^^{s10}^^{s9}
qstr_From_this_area_you_c|Aus diesem Bereich, können Sie die folgenden Königreichsaufträge vergeben:
qstr_>_Order_the_army_to_|> Befehlt der Armee sich zu sammeln.^^> Befehlt allen Einheiten sich auf die Verteidigung des Landes zu Konzentrieren.^^> Befehlt euren Gefolgsleuten Armeen auszuheben. Dies sollte nur bei großer Gefahr oder in vorbereitung eines Feldzugs geschen, da eure Gefolgsleute alle kampffähigen Männer zu sammeln.
qstr_>_Kingdom_Strategy|> Königreich Strategie
qstr_You_have_given_the_o|Ihr habt den Auftrag gegeben, dass der Haushalt Eurer Armeen von euren Königreichs Fürsten zu Euch kommen.
qstr_You_have_given_the_or|Ihr habt den Auftrag erteilt, alles daranzusetzen, das Königreich zu verteidigen.
qstr_The_landed_levy_of_t|In allen Ländereien des gesamten Königreichs wird ausgerufen. Das praktisch jeder Mensch der in der Lage ist zu kämpfen euch zu begleiten hat.
qstr_^^^^^^^^{s2}^^{s3}|^^^^^^^^{s2}^^{s3}
qstr_My_name_is_Beda_the_O|Ich bin Beda der Alte, und dies sind meine Aufzeichnungen über das, was zu meiner Zeit geschah...
qstr_They_weren_t_good_ti|Es waren keine guten Zeiten. Anno Domini 861 starb mein Meister, Bischof Swithunus. Bevor er starb, erzählte er mir, dass das Ende der Zeit kommen würde.^^In 865, wird Cent von einer heidnischen Armee angegriffen. Männer aus Cent schaffen es, sie zu besänftigen, aber unter dem Vorwand des Friedens und der Verlockung des Geldes, und die Eindringlinge plünderten das Land trotzdem.^^Noch im selben Jahr in Ost Angeln, machte eine große heidnische Armee Winterquartier. Im folgenden Sommer reitet König Eadmund schnell dorthin, begierig darauf sie zu sehen. Dies war kein Stoßtrupp; Es wurde bekannt als die große heidnische Armee. Tausende von Männern, angeführt von den Söhnen von Ragnar, waren gekommen, um zu bleiben.^^867, das Ende der Zeit begann, wie Swithunus es vorausgesagt hatte. Die große Heidnische Armee hat die Mündung des Flusses Humbre Eoferwic überquert. Sie eroberten die Stadt, und es gab ein riesiges Schlachten von Northumbrians. Beide Könige, Osbert und Aella, wurden getötet. So, jetzt herrschen die Dänen im Norden, sie haben uns ihre Gesetze und heidnischen Wege auferlegt... Wo ist Gott, wenn man ihn braucht?^^Im Süden, wurde die Friesische Küste von Wikingern verwüstet. Handelsschiffe flohen Richtung Norden, um den Schutz von West Sussex zu suchen.^^In Irland und Wales, wurden die Heiden jeden Tag immer mächtiger. Viele sagten, dass die Dal Riata und das Land der Pikten bald nicht mehr wäre...
qstr_BEDA_CHRONICLE^^{s2}^|BEDA Chronik^^{s2}^^{s3}
qstr_The_news_coming_from|Die Neuigkeiten aus dem Norden waren verstörend. Ragnars Söhne haben Truppen gesammelt um auf Marcia vorzurücken. Es war eine große Armee; nichtsdestotrotz werden die Verstärkungen aus Dänemark erwartet. Möge Gott uns beschützen. 
qstr_Some_merchants_repor|Einige Großhändler berichten, dass Sigurd 'Schlange im Auge', der Sohn von Ragnar in Dänemark, Krieger auf Hunderten von Booten bringt. Ich hörte einige Berater des Königs im Regent Ceaster sagen, dass die Dänen alle Königreiche von England zerstören wollen.^^Die einzigen guten Nachrichten, die ich gehört habe, waren, als ein Bote uns informiert hat, dass einige von Jarl Sigurd gesandte Dänen, um Friesen anzugreifen, in Doccinga besiegt wurden.^^Das war das erste Mal, dass ich den Namen hörte von {Playername}, der die Verteidigung von Doccinga geführt hatte.^^Ich wusste dann, dass {reg59? sie:er} eine wichtige Figur in meinem Leben sein würde.
qstr_There_was_a_man_call|Es gab einen Mann genannt Egbert, oder ich sollte lieber einen König, Egbert Cyning sagen, weil er König von Northumbria war. Aber er war ein Marionettenkönig, der von den Wikingern gewählt ist, weil er ein schwacher Mann war, den sie im Griff behalten konnten. War das das Schicksal das uns auch erwartete?
qstr_In_Anno_Domini_868_t|In Anno Domini 868 haben die Wikinger Snotingaham eingenommen. Es gab Angst, viel Angst, aber West Sussex und Mercia haben ihre Kräfte zusammen geschlossen. Aelfred von West Sussex, dem Bruder des Königs, ist mit Ealswith, Tochter von Aethelred Mucel, Aldermann von Gaini, und von Eadburh von der königlichen Linie des Königs von Mercia verheiratet gewesen.^^Die zwei Reiche haben die fyrd zum Krieg gerufen. West Sussex, marschierte aus dem Süden auf Snotingaham zu, und Mercia, hat sich ihnen unterwegs angeschlossen. Vielleicht konnten sie schließlich den Vormarsch, der Söhne von Ragnar, aufhalten?^^
qstr_I_still_dream_of_Dou|Ich träume immernoch von Douar-an-Enez sobald ich meine Augen schließe. Kein Mann Gottes sollte solche Träume haben - es war, als wäre der Teufel aus dem Gefängniss entkommen und hätte die Welt übernommen. 
qstr_I_remember_sailing_i|Ich erinnere mich, in die Schlacht zu segeln und das ich mich mehrere Male erbrechen musste. Meine Hände zitterten, und eine schmerzhafte Kälte hat meinen Rücken überzogen. Ich war kein Krieger, aber mein Schicksal lag bei {playername} und {reg59?ihren:seinen} Männern. Wenn wir geschlagen wurden, würden wir mit dem Rest sterben. Glücklich, wie durch ein Wunder Gottes, habe ich überlebt. Zu viele nicht, einschließlich Bodo, mit dem, wie ich hörte, {playername} viel Zeit verbracht hat, als sie sich zum ersten Mal auf einem Schiff, das Woden Ric genannt wurde, trafen. Ich glaubte, dass Bodo ein großer Verlust für {reg59?sie:ihn} sein würde nach allem was geschehen war, aber {reg59?ihr:sein} Gesicht war unerschütterlich, und keiner wagte es {reg59?sie:ihn} zu fragen wie {reg59?sie:er} sich fühlt.^^Nach den beiden Schlachten von Douar-an-Enez verbrachten wir ein paar Wochen in den Überresten des Dorfes, um die verwundeten zu heilen, die Toten zu begraben, und sich von allem zu erholen, was passiert war. Ich denke, dass dies die Zeit war, wo meine Arbeit am dringendsten benötigt wurde. Viele sind zu mir gekommen, um Trost zu finden und sich bei mir für alle meine Worte über die Toten zu bedanken.^^Dann fuhren wir zurück nach England, was wir noch nicht wussten, die Welt hatte sich verändert...
qstr_Maybe_part_of_him_is|Vielleicht wird ein Teil von Ihm im Baby verbleiben, dass er mit Thora, Tochter von Ulf von Dänemark hatte. Der Junge, nach seinem Vater benannt, wächst stark und gesund, und verspricht, eines Tages mächtiger Mann zu sein.
qstr_My_name_is_Beda_and_|Mein Name ist Beda, und dieses Buch ist die Aufzeichnung einer dunklen Zeit . Aber die Zeiten waren nicht so furchtbar, als noch der Schatten eines Helden über ihr lag. 
qstr_I_was_there_when_the|Ich war dort als die Saxen und die Dänen bei Aescendun kämpften. Ich war dort als {playername} die Zukunft änderte. Aber auch dies und alles was als nächstes geschah, verblasst an Bedeutung, wenn die Welt ihren Helden verliert. Ich erinnere mich daran als wäre es gestern geschehen. Als wir die Halle betraten und beobachteten, wie Sven Bull Neck die Mutter von {playername} ermordete. Ich erinnere mich an sein Gesicht. Es wurde eiskalt. Weder Wut noch Furcht noch Tränen; Nur Kälte. Ich versichere Ihnen, Sven Bull Neck erblasste als er ihn sah, denn er wusste, dass sein Tod nun unumgänglich war. Wir kämpften und töteten Sven, doch die kälte auf {playername} Gesicht änderte sich nicht. Nicht dann und auch nicht später, bei der Beerdigung {reg59?seiner:ihrer} Mutter, verehrt wie eine Königin, und begraben mit reichen Grabgütern in einem Kriegsschiff.^^Nach diesem tag verloren wir unseren Helden. {reg59?Sie:Er} sagte uns lebewohl, wir die {reg59?ihr:ihm} folgten von Schlacht zu Schlacht, und {reg59?sie:er} verließ uns, ohne das {reg59?sie:er} uns sein Ziel nannte.^^{reg59?Sie:Er} verließ uns, und ich fürchte für immer. Ich hoffe ich liege falsch, denn diese dunkle Welt benötigt {reg59?ihre:seine} Heldentaten.
qstr_BEDA_CHRONICLE^^{s2}^^|BEDA Chronik^^{s2}^^{s3}^^{s16}
qstr_Little_news_has_reac|Kleine Nachrichten haben mich über den jungen Caio erreicht. Ich weiß sicher, dass er nie an den Hadrians Wall zurückgekehrt ist, nicht einmal um seine Familie zu besuchen. Zuletzt hörte ich, dass er eine dänische Expedition nach Konstantinoupolis geleitet hat.
qstr_^^Egil_returned_to_R|^^Egil zurückgekehrt nach Ribe, seiner Heimat, reich durch die Beute seiner Abenteuer. 
qstr_^^Brunhild_married_a|^^Brunhild hat einen Dänen geheiratet, trotz sie immer gehasst zu haben, und hat sich in der Nähe von Jorvik niedergelassen. Ein Großhändler hat mir gesagt, dass sie zurzeit eine glückliche Mutter mit drei Kindern ist.
qstr_^^The_fate_of_Donnac|^^Das Schicksal von Donnachdh war dunkel. Er ist zu Alban zurückgekehrt, wo er eine Mannschaft von Schotten rekrutiert hat, um die norwegischen Großhändler im Meer von Hibernia auszuplündern. Die Norweger von Dubh Linn stellen einen Preis auf seinen Kopf, haben ihn Verfolgt und ihn in einem epischen Kampf getötet, über den die Barden noch am Gericht von Alban singen.
qstr_^^Morgant_returned_t|^^Morgant ist zu Cornubia zurückgekehrt und hat sich bemüht, die Clans zu vereinigen, um zu versuchen, das Territorium des alten Königreichs Dunmonia wieder zu erlangen, aber war erfolglos. Viele gaben einfach ihr Heimatland für die andere Seite des Kanals auf, der erstaunlich genug gescheitert ist, die vielen Konkurrenten zu reduzieren. Schließlich hat er aufgegeben und hat sich zum Kloster von Petrockstow zurückgezogen, wo ich weiß, dass er Gelübde abgelegt hat.
qstr_^^Dwywei_was_one_of_|^^Dwywei war einer der wenigen, die nicht nach dem Weggang von {playername} aufgegeben hat, und ich weiß, dass sie abgereist ist um ihn zu verfolgen. Sie liebte ihn trotz allem, was passiert ist, und war bereit, die Welt zu bereisen, um ihn zu finden. Ich weiß nicht ob sie erfolgreich war, oder ob sie überhaupt noch am Leben ist.
qstr_^^Dwywei_despite_all|^^Dwywei, trotz der ganzen Vergangenheit, hat sich nie mit der Abfahrt von {playername} abgefunden. Ich habe gehört, dass sie abgereist ist um ihn zu verfolgen.
qstr_^^Reginhard_returned|^^Reginhard kehrte nach Dorestad zurück und heiratete Adda die Händlerin. Sie bekamen auch einen Son mit Namen Thiaderd, doch ihre glückliche Ehe währte nicht lang. Das letzte was man von ihm hörte war, das ihn sein doppelter Verrat an Thiaderd und {playername} plagte, und er sich seinem alten Laster zuwand.
qstr_^^About_Clovis_he_re|^^Zu Clovis, er kehrte zu Frankia zurück, wo er sich niederließ und sie zur Frau nahm. Aber es scheint so, als wolle er seine Vergangenheit vergessen und meine Nachrichten nicht erhalten. 
qstr_^^The_beautiful_and_|^^Die schöne und unbeugsame Solveig entschied sich dazu {playername}'s Rache an Sven Bull Necks Familie alleine fort zu führen. Sie kehrte nach Dänemark zurück, jagte und tötete alle Brüder von Sven, sowie ihrer Familien. Der Thing verurteilte sie dafür zum Tod, so das sie sich jetzt irgendwo unter Außenseitern und Banditen versteckt.
qstr_^^The_loeknir_the_ph|^^Asbjorn der Arzt kehrte nach Odinsve zurück, der Heimat seienr Eltern, müdes des Krieges. Er nutze sein Wissen, um den Leuten zu helfen. Oft nur für ein paar Pfennig -- oder aber auch ohne bezahlung, wenn man ihn darum bat. Er wurde im ganzen Norden bekannt, und die Leute verehrten ihn wie einen Heiligen.
qstr_^^Helgi_was_very_fon|^^Helgi mochte {playername} sehr gerne, totz seiner Vergangenheit und als er uns verließ, verfiel er in tiefe Trauer. Das letzte was ich weis ist, das er richtung osten ging und sich den Rus anschloss, in der hoffnung das mehr Blut seine Trauer ertränkt.
qstr_^^Helgi_became_depre|^^Helgi war sehr bedrückt nach der Abreise von {playername}. Ohne festes Ziel, marschierte er nach Osten und wurde ein Rus, stets auf der endlosen Suche nach seinem Schicksal. 
qstr_^^The_Greek_Agathino|^^Der Griche Agathinos, blieb im Norden nahe Lundenwic. Er bekam eine Anstellung und war zuständig für den wiederaufbau der römischen Infastruktur. Ab und zu bekomme ich noch Briefe von ihm. Ich weis nicht warum, wir waren nie Freunde, aber er liebt es anscheinend alte Beziehungen zu erhalten und ich bin ein teil eines Lebens, das er hinter sich ließ.
qstr_^^And_that_is_all_wh|^^Und das ist alles was ich über Leute weiß, die unter {playername} gedient haben.
; qstr_After_the_departure_|After the departure of our leader, we, {reg59?her:his} followers, dispersed to the four winds. I hid in a monastery in a remote part of West Seaxe, far from it all. Here I will wait for the end of my days. I pay people to bring me news from outside, especially if they find {playername}, but nobody has seen {reg59?her:him}. However, I have a little news from others who were with {reg59?her:him} until the end.
qstr_{s11}{s12}{s13}{s14}|{s11}{s12}{s13}{s14}{s15}{s16}{s17}{s18}{s19}{s20}{s21}{s22}{s23}.
; qstr_{s2}{s3}^^I_hope_my_|{s2}{s3}^^I hope my writings serve to keep {playername} in history. The {reg59?lady:man} who started from nothing, on a ship called the Woden Ric, and rose to be a warlord who was able to put in check the powers of {reg59?her:his} time. {reg59?She:He} it was who killed the dreaded Sven Bull Neck and could be measured face to face with the most powerful men, like the sons of Ragnar and the kings of West Seaxe.^^May the world remember {playername} when the rest of us have all perished.
; qstr_They_say_that_Eriu_i|They say that Eriu is a wilderness, inhabited by people too untrustworthy for truce or trade, and too violent to make it worth conquering. I have heard many stories about Eriu, but none is worth retelling. What I am sure of is that the time {playername} spent there left him scarred for life.
; qstr_Honestly_Mael_Bresai|Honestly, Mael Bresail's death meant nothing to {playername}. {reg59?She:He} continues {reg59?her:his} life largely as if Mael Bresail never existed. Perhaps {reg59?she:he} has a few more enemies among the lords of Eriu and a few extra peningas in {reg59?her:his} pockets, but nothing more.^^But Morrigan was another thing altogether. That woman had something magical. It was not just her singing, which itself was able to freeze time. It was something deeper. When she left, the whole army felt a void. Nobody has ever seen her since, although I know that my {reg59?lady:lord} always hopes for news about her.^^They say many things about Eriu, but nobody tells the legend of Morrigan.
; qstr_The_agreement_with_M|The agreement with Mael Bresail made {playername} a rich person, but his fate was above wealth, and money was only a way to achieve {reg59?her:his} goals. Little news reached us of Mael Bresail after the pact. He always tried to stay out of the way of my {reg59?lady:lord}, even when the affairs of {reg59?my lady:my lord} and his king crossed. I don't know if Mael Bresail just honored his oath or felt sheer terror toward {playername}.^^They say many things about Eriu, but few people remember the legend of how Flaithbertach's children were killed.
