str_yes|Ja.
str_you_speak_of_claims_its_good_for_a_king_to_have_a_strong_claim_although_admittedly_im_more_concerned_that_he_rules_just_ly_than_with_legalities_anyway_your_claim_seems_wellfounded_to_me|Ihr sprecht von Ansprüchen. Ein König sollte einen starken Anspruch haben, obwohl ich mich zugegebenermaßen nicht so sehr um die Legalitäten sorge, sondern eher darum, ob er gerecht regiert. Wie dem auch sei, Euer Anspruch scheint wohlbegründet zu sein.
str_you_speak_of_claims_but_your_claim_seems_a_bit_weak_to_me|Ihr sprecht von Ansprüchen, doch Euer Anspruch scheint mir etwas schwach.
str_you_speak_of_protecting_the_commons_i_like_that_my_tenants_are_a_happy_lot_i_think_but_i_hear_of_others_in_other_estates_that_arent_so_fortunate|Ihr sprecht davon, das gemeine Volk zu schützen. Das finde ich gut. Meine Pächter sind glücklich, denke ich, aber ich höre auch von solchen in anderen Lehen, die eher Pech gehabt haben.
str_you_speak_of_protecting_the_commons_im_glad_to_hear_you_say_that_but_do_me_a_favor__dont_promise_the_commons_anything_you_cant_deliver_thats_a_sure_way_to_get_them_to_rebel_and_it_breaks_my_heart_to_have_to_put_them_down|Ihr sprecht davon, das gemeine Volk zu schützen. Ich bin froh, das zu hören. Doch tut mir einen Gefallen – versprecht dem gemeinen Volk nicht mehr, als Ihr halten könnt. Das wäre ein sicherer Weg zur Rebellion, und es bräche mir das Herz, sie in die Knie zwingen zu müssen.
str_you_speak_of_protecting_the_rights_of_lords_well_very_good_i_suppose_but_you_know__we_lords_can_take_of_ourselves_its_the_common_folk_who_need_a_strong_king_to_look_out_for_them_to_my_mind|Ihr sprecht davon, die Rechte der Fürsten zu schützen. Nun, das ist sehr gut, denke ich. Doch wisset – wir Fürsten können selbst auf uns aufpassen. Meiner Ansicht nach ist es das gemeine Volk, das einen starken König zu ihrem Schutz braucht.
str_you_speak_of_giving_me_land_its_kind_of_you_really_though_that_is_not_necessary|Ihr sprecht davon, mir Land zu geben. Da ist nett von Euch. Doch es ist wirklich nicht nötig.
str_you_speak_of_unifying_calradia_well_maybe_you_can_unite_this_land_by_the_sword_but_im_not_sure_that_this_will_make_you_a_good_ruler|Ihr sprecht von der Einigung dieses Landes. Nun, vielleicht könnt Ihr dieses Land ja mit dem Schwert einigen. Doch ich bin nicht überzeugt, dass es Euch zu einem guten Herrscher machen wird.
str_you_speak_of_claims_a_king_must_have_a_strong_legal_claim_for_there_not_to_be_chaos_in_the_realm_and_yours_is_wellestablished|Ihr sprecht von Ansprüchen. Ein König muss einen starken, rechtmäßigen Anspruch auf den Thron haben, damit kein Chaos im Reich ausbricht, und der Eure ist wohl etabliert.
str_you_speak_of_claims_a_king_must_have_a_strong_legal_claim_for_there_not_to_be_chaos_in_the_realm_but_your_claim_is_not_so_strong|Ihr sprecht von Ansprüchen. Ein König muss einen starken, rechtmäßigen Anspruch auf den Thron haben, damit kein Chaos im Reich ausbricht, aber der Eure ist nicht so stark.
str_you_speak_of_protecting_the_rights_of_lords_it_is_of_course_important_that_a_king_respect_the_rights_of_his_vassals_although_i_worry_that_a_king_who_took_a_throne_without_proper_cause_would_not_rule_with_justice|Ihr sprecht davon, die Rechte der Fürsten zu schützen. Es ist selbstverständlich wichtig, dass ein König die Rechte seiner Vasallen respektiert, obwohl ich mir Sorgen mache, dass ein König, der den Thron ohne rechtmäßigen Grund bestieg, nicht gerecht regieren kann.
str_you_speak_of_protecting_the_rights_of_lords_it_is_of_course_important_that_a_king_respect_the_rights_of_his_vassals_however_i_would_like_to_know_that_you_would_indeed_deliver_on_your_promises|Ihr sprecht davon, die Rechte der Fürsten zu schützen. Es ist selbstverständlich wichtig, dass ein König die Rechte seiner Vasallen respektiert. Doch ich möchte wissen, ob Ihr Eure Versprechen wirklich halten werdet.
str_you_speak_of_protecting_the_commons_i_would_be_pleased_to_serve_a_king_who_respected_the_rights_of_his_subjects_although_i_worry_that_a_king_who_took_a_throne_without_proper_cause_would_not_rule_with_justice|Ihr sprecht davon, das gemeine Volk zu schützen. Ich wäre erfreut, unter einem König zu dienen, der die Rechte seiner Untertanen respektiert, obwohl ich mir Sorgen mache, dass ein König, der den Thron ohne rechtmäßigen Grund bestieg, nicht gerecht regieren kann.
str_you_speak_of_protecting_the_commons_i_would_be_pleased_to_serve_a_king_who_respected_the_rights_of_his_subjects_however_i_would_like_to_know_that_you_would_indeed_deliver_on_your_promises|Ihr sprecht davon, das gemeine Volk zu schützen. Ich wäre erfreut, unter einem König zu dienen, der die Rechte seiner Untertanen respektiert. Doch ich möchte wissen, ob Ihr Eure Versprechen wirklich halten werdet.
str_i_am_not_swayed_by_promises_of_reward|Ich lasse mich nicht von Belohnungsversprechungen hinreißen
str_you_speak_of_unifying_calradia_it_would_be_good_to_bring_peace_to_the_realm_and_i_believe_that_you_are_strong_enough_to_do_so|Ihr sprecht davon, dieses Land zu vereinen. Es wäre recht, diesem Reich den Frieden zu bringen, und ich glaube auch, dass Ihr stark genug seid, dieses zu erreichen.
str_you_speak_of_unifying_calradia_it_would_be_good_to_bring_peace_the_realm_but_with_your_kingdom_in_its_current_state_i_worry_that_you_are_just_bringing_more_discord|Ihr sprecht von der Einigung dieser Lande. Es wäre gut, Frieden ins Reich zu bringen, doch mit dem aktuellen Zustand Eures Königreichs befürchte ich, dass Ihr nur noch mehr Zwietracht brächtet.
str_my_s11_s15|mein/e {s11} {s15}
str_my_s11_s18|Mein/e {s11} {s18}
str_the_socalled_s11_s18|Die so genannte {s11} {s18}
str_s18_would_cheat_me_of_my_inheritance_by_heaven_i_know_my_rights_and_im_not_going_to_back_down|{s18} würde mich um mein Erbe prellen. Bei allen Göttern, ich kenne meine Rechte, und ich werde nicht zurückweichen.
str_s18_once_questioned_my_honour_and_my_bravery_i_long_for_the_day_when_i_can_meet_him_in_battle_and_make_him_retract_his_statement|{s18} stellte einst meine Ehre und meine Tapferkeit in Frage. Ich warte sehnsüchtig auf den Tag, da ich ihm in der Schlacht gegenüberstehen und ihn zwingen kann, seine Aussage zurückzuziehen.
str_s18_once_questioned_my_judgment_in_battle_by_heaven_would_he_have_us_shirk_our_duty_to_smite_our_sovereigns_foes|{s18} stellte einst meine Klugheit in der Schlacht in Frage. Bei allen Göttern, will er, dass wir uns um unsere Pflicht drücken, die Feinde unseres Regenten niederzuschmettern?
str_s18_seems_to_think_he_has_the_right_to_some_of_my_property_well_he_does_not|{s18} scheint zu glauben, er habe ein Recht auf Teile meines Besitzes. Nun, das hat er nicht.
str_s18_once_took_something_i_said_amiss_stubborn_bastard_wont_give_it_up_and_keeps_trying_to_get_me_to_recant_my_words|{s18} nahm mir einst eine Aussage krumm. Der sture Bastard ist nachtragend und versucht unablässig, mich zur Zurücknahme meiner Worte zu bringen.
str_s18_is_a_crafty_weasel_and_i_dont_trust_him_one_bit|{S18} ist ein schlaues Wiesel. Ich traue ihm kein bisschen.
str_s18_i_despite_him_he_puts_on_such_a_nauseating_display_of_virtue_and_thinks_nothing_of_insulting_his_betters|{s18}? Ich verachte ihn. Er stellt sich dermaßen widerlich als hehrer Tugendbold dar, aber denkt sich nichts dabei, ihm Höhergestellte zu beleidigen.
str_s18_entered_into_a_little_deal_with_me_and_is_now_trying_to_wriggle_out_of_it|{s18} ist einen kleinen Handel mit mir eingegangen und versucht nun, sich da herauszuwieseln.
str_s18_once_ran_an_errand_for_me_and_now_thinks_i_owe_him_something_i_owe_his_ilk_nothing|{s18} führte einst einen Auftrag für mich aus und denkt nun, ich sei ihm etwas schuldig. Ich schulde ihm und seinesgleichen nichts.
str_s18_is_soft_and_weak_and_not_fit_to_govern_a_fief_and_i_have_always_detested_him|{s18} ist weich und schwach und nicht für die Regierung eines Lehens geeigne ..., und ich habe ihn schon immer gehasst.
str_s18_is_a_quarrelsome_oaf_and_a_liability_in_my_opinion_and_ive_let_him_know_as_much|{s18} ist ein zänkischer Lümmel und meiner Ansicht nach eine Belastung, und ich habe ihn das auch wissen lassen.
str_s18_i_am_sorry_to_say_is_far_too_softhearted_a_man_to_be_given_any_kind_of_responsibility_his_chivalry_will_allow_the_enemy_to_flee_to_fight_another_day_and_will_cost_the_lives_of_my_own_faithful_men|So leid es mir tut, {s18} ist viel zu weichherzig, um Verantwortung zu übernehmen. Seine Ritterlichkeit erlaubt dem Feind, zu fliehen und uns am nächsten Tag aufs Neue anzugreifen, und wird viele meiner eigenen treuen Mannen das Leben kosten.
str_s18_seems_to_have_something_against_me_for_some_reason_i_dont_like_to_talk_ill_of_people_but_i_think_hes_can_be_a_bit_of_a_cad_sometimes|{s18} scheint aus irgendeinem Grunde etwas gegen mich zu haben. Ich rede nicht gerne schlecht über Leute, aber ich finde, er kann manchmal etwas flegelhaft sein.
str_s18_has_always_treated_me_contemptuously_although_i_have_done_him_no_wrong|{s18} hat mich immer mit Geringschätzung behandelt, obwohl ich ihm nie etwas getan habe.
str_s18_is_thoroughly_dishonorable_and_a_compulsive_spinner_of_intrigues_which_i_fear_will_drag_us_into_wars_or_incite_rebellions|{s18} ist durch und durch unehrenhaft und ein besessener Intrigenschürer, was uns meiner Ansicht nach in Kriege verwickeln oder Rebellionen entfachen wird.
str_s18_disappoints_me_i_once_scolded_for_his_rashness_in_battle_and_he_took_offense_i_do_not_care_to_apologize_for_my_efforts_to_save_his_life_and_the_lives_of_his_men|Ich bin von {s18} enttäuscht. Einmal wies ich ihn ob seiner Hast in der Schlacht zurecht, und er nahm es mir übel. Ich werde mich nicht für meine Versuche entschuldigen, sein Leben und das seiner Männer zu retten.
str_s18_squanders_money_and_carouses_in_a_way_most_unbefitting_a_noble_by_doing_so_he_disgraces_us_all|{s18} verjubelt sein Geld und schwelgt in Sinnesfreuden auf eine Weise, die einem Adligen in keinster Weise stehen. Und damit bringt er Schande über uns alle.
str_s18_has_been_speaking_ill_of_me_behind_my_back_or_so_they_say|{s18} hat hinter meinem Rücken schlecht von mir geredet, so heißt es.
str_s18_is_a_disgrace_reg3shehe_consorts_with_merchants_lends_money_at_interest_uses_coarse_language_and_shows_no_attempt_to_uphold_the_dignity_of_the_honor_bestowed_upon_reg3herhim|{s18} ist eine Schande. {reg3?Sie:Er} treibt sich mit Kaufleuten herum, verleiht Geld gegen Zinsen, flucht wie ein Schinder und zeigt keinerlei Anzeichen, die Würde der {reg3?ihr:ihm} zugekommenen Ehre aufrecht zu erhalten.
str_s18_has_condemned_me_for_engaging_in_commerce_what_could_possibly_be_wrong_with_that|{s18} hat mich verdammt dafür, Handel zu treiben. Was kann daran ehrenrührig sein?
str_s18_i_have_heard_has_been_encouraging_seditious_ideas_among_the_peasantry__a_foolish_move_which_endangers_us_all|{s18}, so höre ich, hat unter der Bauernschaft Sezessionsideen verbreitet – ein törichter Zug, der uns alle in Gefahr bringt.
str_s18_has_called_me_out_for_the_way_i_deal_with_my_tenants_well_so_be_it_if_i_teach_them_that_they_are_the_equal_of_anyone_with_socalled_gentle_blood_what_is_it_to_reg3herhim|{s18} hat mich wegen meiner Art, mit den Pächtern umzugehen, kritisiert. Sei's drum. Was schert es {reg3?sie:ihn}, ob ich ihnen beibringe, dass sie den Menschen von sogenanntem 'adligem Geblüt' ebenbürtig sind?
str_a_most_gallant_gentleman_who_knows_how_to_treat_a_lady|Ein höchst galanter Mann, der weiß, wie man eine Dame behandelt
str_a_base_cad|ein Haderlump
str_a_man_who_treats_me_as_his_equal_which_is_rare|ein Mann, der mich ebenbürtig behandelt, was selten vorkommt
str_appears_to_value_me_with_his_estate_and_his_horse_as_prizes_worth_having|scheint mich zusammen mit seinem Besitz und einem Pferd als lohnende Trophäe anzusehen
str_a_bit_dull_but_what_can_you_expect|Ein wenig langweilig, aber was erwartet Ihr ...
str_the_man_whom_destiny_intends_for_me|Der Mann, den das Schicksal für mich beabsichtigt
str_is_not_right_for_me__i_cannot_say_why_but_he_makes_my_skin_crawl|ist nicht der Richtige für mich - ich kann nicht sagen, warum, aber er gruselt mich
str_is_a_man_who_clearly_intends_to_make_his_mark_in_the_world|Ist ein Mann, der klar beabsichtigt, seine Spuren in der Welt zu hinterlassen
str_is_a_layabout_a_naif_prey_for_others_who_are_cleverer_than_he|ist ein naiver Faulpelz; Beute für die, die cleverer sind als er
str_is_a_man_of_stalwart_character|Ist ein Mann von starkem Charakter
str_appears_to_be_a_man_of_low_morals|scheint ein Mann mit geringer Moral zu sein
str_appears_to_be_a_man_who_lacks_selfdiscipline|scheint ein Mann zu sein, dem es an Selbstdisziplin fehlt
str_bandits_attacked_a_party_on_the_roads_so_a_bounty_is_probably_available|Banditen haben eine Gruppe auf den Straßen angegriffen, so dass wahrscheinlich ein Kopfgeld ausgesetzt wurde.
str_s11_relocates_to_s10|{s11} verlegt nach {s10}.
str__i_must_attend_to_this_matter_before_i_worry_about_the_affairs_of_the_realm| Ich muss mich dieser Angelegenheit widmen, bevor ich mir über die Angelegenheiten des Reiches sorgen machen kann.
str_the_other_matter_took_precedence|Die andere Sache hat Vorrang.
str_i_cannot_leave_this_fortress_now_as_it_is_under_siege|Ich kann diese Festung nicht verlassen, sie belagert wird.
str_after_all_we_are_under_siege|Schließlich sind wir unter Belagerung.
str_we_are_not_strong_enough_to_face_the_enemy_out_in_the_open|Wir sind nicht stark genug, um den Feind im Freien zu begegnen.
str_i_should_probably_seek_shelter_behind_some_stout_walls|Ich sollte wahrscheinlich hinter einigen dicken Mauern Zuflucht suchen.
str_enemies_are_reported_to_be_nearby_and_we_should_stand_ready_to_either_man_the_walls_or_sortie_out_to_do_battle|Feinde wurden in der Nähe gesichtet, und wir sollten bereit sein, entweder die Mauern zu bemannen oder einen Ausfall in die offene Schlacht zu versuchen
str_the_enemy_is_nearby|Der Feind nähert sich.
str_as_the_marshal_i_am_assembling_the_army_of_the_realm|Als Marschall versammle ich die Armee des Reiches.
str_as_the_marshal_i_am_assembling_the_army_of_the_realm_and_travel_to_lands_near_s10_to_inform_more_vassals|Als Marschall sammle ich die Armee des Reiches. Wir reisen in die Region von {s10}, um weitere Vasallen zu benachrichtigen.
str_i_intend_to_assemble_the_army_of_the_realm|Ich beabsichtige, die Armee des Reiches zu mobilisieren.
str_as_the_marshal_i_am_leading_the_siege|Als der Marschall führe ich die Belagerung.
str_i_intend_to_begin_the_siege|Ich beabsichtige, die Belagerung zu beginnen.
str_as_the_marshal_i_am_leading_our_raid|Als der Marschall führe ich unseren Raubzug.
str_i_intend_to_start_our_raid|Ich beabsichtige unseren Raubzug zu beginnen.
str_as_the_marshal_i_am_leading_our_forces_in_search_of_the_enemy|Als der Marschall führe ich unsere Streitmacht auf der Suche nach dem Feind.
str_i_intend_to_lead_our_forces_out_to_find_the_enemy|Ich beabsichtige, unsere Streitkräfte ins Feld zu führen, um den Feind zu stellen.
str_as_the_marshal_i_am_leading_our_forces_to_engage_the_enemy_in_battle|Als Marschall führe ich unsere Streitkräfte in die Schlacht gegen den Feind.
str_i_intend_to_lead_our_forces_out_to_engage_the_enemy|Ich beabsichtige, unsere Truppen anzuführen, um dem Feind in offener Feldschlacht entgegenzutreten.
str_i_dont_have_enough_troops_and_i_need_to_get_some_more|Ich habe nicht genug Truppen, und ich brauche mehr.
str_i_am_running_low_on_troops|Ich habe nur noch wenige Kämpfer.
str_we_are_following_your_direction|Wir folgen Eurem Befehl.
str_i_need_to_make_preparations_for_your_wedding|Ich muss Eure Hochzeit vorbereiten.
str_after_all_i_need_to_make_preparations_for_your_wedding|Immerhin muss ich Eure Hochzeit vorbereiten.
str_i_am_heading_to_the_site_of_our_wedding|Ich bin auf dem Weg zur Stätte Eurer Hochzeit.
str_after_all_we_are_soon_to_be_wed|Schließlich sind wir bald verheiratet!
str_i_am_hosting_a_feast_there|Ich veranstalte dort ein Fest.
str_i_have_a_feast_to_host|Ich habe ein Fest zu veranstalten.
str_i_am_to_be_the_bridegroom_there|Ich werde der Bräutigam sein.
str_my_wedding_day_draws_near|Mein Hochzeitstag naht.
str_i_have_too_much_loot_and_too_many_prisoners_and_need_to_secure_them|Ich habe zu viel Beute und zu viele Gefangene und muss sie sichern.
str_i_should_think_of_dropping_off_some_of_my_prisoners|Ich sollte vielleicht ein paar meiner Gefangenen loswerden.
str_i_need_to_reinforce_it_as_it_is_poorly_garrisoned|Ich muss Verstärkung heranbringen, da die Garnison schwach ist.
str_there_is_a_hole_in_our_defenses|Da ist eine Lücke in unserer Verteidigung.
str_i_am_following_the_marshals_orders|Ich folge den Anweisungen des Marschalls.
str_the_marshal_has_given_me_this_command|Der Marschall hat mir diesen Befehl gegeben.
str_i_am_answering_the_marshals_summons|Ich antworte auf den Ruf des Marschalls.
str_our_realm_needs_my_support_there_is_enemy_raiding_one_of_our_villages_which_is_not_to_far_from_here_i_am_going_there|Unser Reich benötigt meine Unterstützung. Ein Feind überfällt eines unserer Dörfer, das nicht weit von hier entfernt ist. Ich werde mich dorthin begeben.
