str_yes|Да.
str_the_roads_are_full_of_brigands_friend_but_that_name_in_particular_does_not_sound_familiar_good_hunting_to_you_nonetheless|На дорогах сейчас полно мерзавцев, но это имя мне ничего не говорит. В любом случае, доброй вам охоты.
str_less_than_an_hour_ago|меньше года назад
str_maybe_reg3_hours_ago|около {reg3} часов назад
str_reg3_days_ago|{reg3} дней назад
str_youre_in_luck_we_sighted_those_bastards_s16_near_s17_hurry_and_you_might_be_able_to_pick_up_their_trail_while_its_still_hot|Вам повезло - мы видели этих подлых {s16} неподалеку от {s17}. Если поторопитесь, успеете отыскать их по горячим следам.
str_you_speak_of_claims_to_the_throne_good_there_is_nothing_id_rather_do_than_fight_for_a_good_cause|Вы собираетесь претендовать на престол. Отлично. Что может быть лучше, чем добрая битва за правое дело.
str_you_speak_of_claims_to_the_throne_well_there_is_nothing_id_rather_do_than_fight_for_a_good_cause_but_the_claim_you_make_seems_somewhat_weak|Вы собираетесь претендовать на престол. Понятное дело, ничего лучше битвы за правое дело быть не может, но ваши претензии на корону довольно безосновательны.
str_i_am_pleased_that_you_speak_of_upholding_my_ancient_rights_which_are_sometimes_trod_upon_in_these_sorry_days|Приятно слышать, что вы готовы поддержать мои законные притязания - в наши горестные времена немногие готовы пойти на это.
str_i_am_pleased_that_you_speak_of_upholding_my_ancient_rights_but_sometimes_men_make_pledges_before_they_are_king_which_they_cannot_keep_once_they_take_the_throne|Приятно слышать, что вы готовы поддержать мои законные притязания. Но порой люди дают слишком поспешные клятвы, которых не могут выполнить, когда становятся королями.
str_you_speak_of_protecting_the_commons_well_i_supposed_thats_good_but_sometimes_the_commons_overstep_their_boundaries_im_more_concerned_that_your_claim_be_legal_so_i_can_swing_my_sword_with_a_good_conscience|Вы говорите о защите простолюдинов. Пожалуй, это благая цель, но порой простолюдины переходят границы. Меня более беспокоит то, насколько обоснованны ваши притязания с точки зрения законности: если они незаконны, я не смогу поддерживать вас без угрызений совести.
str_you_speak_of_giving_me_land_good_i_ask_for_no_more_than_my_due|Вы собираетесь подарить мне землю. Неплохо. Мне не нужно больше чем то, что должно быть моим по праву.
; str_you_speak_of_giving_me_land_unfortunately_you_are_not_wellknown_for_rewarding_those_to_whom_you_have_made_such_offers|You speak of giving me land. Unfortunately, you are not well known for rewarding those to whom you have made such offers.
; str_you_speak_of_unifying_calradia_well_i_believe_that_well_always_be_fighting__its_important_that_we_fight_for_a_rightful_cause|You speak of unifying these lands. Well, I believe that we'll always be fighting - it's important that we fight for a rightful cause.
str_you_talk_of_claims_to_the_throne_but_i_leave_bickering_about_legalities_to_the_lawyers_and_clerks|Вы собираетесь претендовать на престол, но я считаю, что спорить из-за наследства - это, скорее, дело сутяг и крючкотворов.
str_you_speak_of_ruling_justly_hah_ill_believe_theres_such_a_thing_as_a_just_king_when_i_see_one|Вы говорите о справедливом правлении. Хм! В справедливых королей я поверю, только если увижу хотя бы одного своими глазами.
str_you_spoke_of_protecting_the_rights_of_the_nobles_if_you_did_youd_be_the_first_king_to_do_so_in_a_very_long_time|Вы говорите о защите прав знати. Если вы действительно защитите их, вы станете первым за долгое время правителем, который пошел на это.
str_you_speak_of_giving_me_land_ay_well_lets_see_if_you_deliver|Вы собираетесь подарить мне землю. Ну что ж, посмотрим, как вы выполните свое обещание.
str_you_speak_of_giving_me_land_bah_youre_not_known_for_delivering_on_your_pledges|Вы собираетесь подарить мне землю. Вопрос только в том, насколько вы верны своим обещаниям...
; str_you_speak_of_unifying_calradia_well_youve_done_a_good_job_at_making_calradia_bend_its_knee_to_you_so_maybe_thats_not_just_talk|You speak of unifying these lands. Well, you've done a good job at making this country bend its knee to you, so maybe that's not just talk.
; str_you_speak_of_unifying_calradia_id_be_impressed_if_i_thought_you_could_do_it_but_unfortunately_you_dont|You speak of unifying these lands. I'd be impressed if I you could do it, but unfortunately, you can't.
str_you_speak_of_claims_to_the_throne_well_any_peasant_can_claim_to_be_a_kings_bastard|Вы собираетесь претендовать на престол. Что ж, объявить себя незаконнорожденым сыном короля может любой крестьянин.
str_well_its_a_fine_thing_to_court_the_commons_with_promises_but_what_do_you_have_to_offer_me|Что ж, раздавать обещания простолюдинам - это неплохо, но что вы готовы предложить мне?
str_you_speak_of_protecting_the_rights_of_lords_that_would_make_a_fine_change_if_my_rights_as_lord_would_be_respected|Вы говорите о защите прав знати. Если мои права будут уважать, то это уже неплохо.
str_you_speak_of_protecting_the_rights_of_lords_that_would_make_a_fine_change_if_my_rights_as_lord_would_be_respected_however_it_is_easy_for_you_to_make_promises_while_you_are_weak_that_you_have_no_intention_of_keeping_when_you_are_strong|Вы говорите о защите прав знати. Если мои права будут уважать, то это уже неплохо. Однако легче раздавать обещания, пока вы слабы, нежели выполнять их, когда вы придете к власти.
str_you_speak_of_giving_me_land_well_my_family_is_of_ancient_and_noble_lineage_so_you_promise_me_no_more_than_my_due_still_your_gesture_is_appreciated|Вы собираетесь подарить мне землю. Я потомок старинного, благородного семейства, так что вы обещаете то, что уже принадлежит мне по праву. Впрочем, я ценю ваше обещание.
str_you_speak_of_giving_me_land_well_you_make_that_pledge_but_i_am_not_impressed|Вы собираетесь подарить мне землю. Но раздавать обещания легко, и меня они не впечатляют.
; str_you_speak_of_unifying_calradia_well_much_of_this_land_now_bends_its_knee_to_you_so_perhaps_that_is_not_just_talk|You speak of unifying these lands. Well, much of this land now bends its knee to you, so perhaps that is not just talk.
; str_you_speak_of_unifying_calradia_but_right_now_yours_is_just_one_squabbling_faction_among_many|You speak of unifying these lands, but right now, yours is but one squabbling faction among many.
str_you_speak_of_claims_well_no_offense_but_a_claim_unsupported_by_might_rarely_prospers|Вы претендуете на многое. Не в обиду будет сказано, но без реальной силы из притязаний редко выходит что-то дельное.
str_you_speak_of_protecting_the_commons_well_i_suppose_that_will_make_for_a_more_prosperous_realm_ive_always_tried_to_treat_my_peasants_decently_saves_going_to_bed_worrying_about_whether_youll_wake_up_with_the_roof_on_fire|Вы говорите о защите простолюдинов. Пожалуй, так действительно можно создать процветающее королевство. Я всегда старался обращаться со своими крестьянами достойно - так можно меньше опасаться бунтов и поджогов.
str_you_speak_of_protecting_the_commons_very_well_but_remember_that_peasants_are_more_likely_to_cause_trouble_if_you_make_promises_then_dont_deliver_than_if_you_never_made_the_promise_in_the_first_place|Вы говорите о защите простолюдинов. Превосходно. Но помните: крестьяне охотнее бунтуют, когда данные им обещания не выполняются, чем когда им вообще ничего не обещают.
