; qstr_Breaking_camp...|Breaking camp...
qstr_Phlegmatic._Its_elem|Fleumática. Seu elemento é água e o humor de Hipócrates dela é fleuma. Está associada com pessoas que são calmas, compassivas, de auto-conteúdo, confiáveis, tímidas, observadoras e consistentes. Estas pessoas são também resistentes a mudanças, distantes, relaxadas e reservadas.
qstr_Melancholic._Its_ele|Melancólica. Seu elemento é terra e o humor de Hipócrates dela é a bílis negra. Está associada com pessoas que são introvertidas, sensíveis, intuitivas, criativas, perfeccionistas, pacientes, carinhosas e tolerantes. Estas pessoas são também desajeitadas, obcecadas, deprimidas e insatisfeitas.
qstr_Choleric._Its_elemen|Colérica. Seu elemento é fogo, e o humor de Hipócrates dele é a bílis amarela. Está associada com pessoas que são persuasivas, egocêntricas, extrovertidas, independentes, carismáticas e ambiciosas. Essas pessoas também são insistentes, impetuosas, mal-humoradas, inquietas e irritáveis.
qstr_Sanguine._Its_elemen|Sanguínea. Seu elemento é ar e o humor de Hipócrates dele é sangue. Está associada com pessoas que são otimistas, imaginativas, artísticas, alegres, sociáveis, racionais e buscadoras de prazer. Estas pessoas são também esquecidas, impulsivas e imprevisíveis.
qstr_{s1}^^{s2}_{s3}|{s1} ^^ {s2} {s3}
qstr_According_the_four_c|De acordo com as quatro virtudes cardinais reconhecidas nos escritos da antiguidade clássica, você expõe mais frequentemente:
qstr_Wisdom._Also_called_|Sabedoria. Também chamada de Prudência, ela rege ações de acordo com o ditar da razão para escolher a resposta certa para qualquer situação. Sabedoria implica a habilidade de julgar antecipadamente as prováveis consequências de ações.
qstr_Fortitude._Also_call|Fortitude. Também chamada de Coragem, ela garante firmeza durante as dificuldades e constância na perseguição de objetivos. É a força para tomar uma decisão baseada em convicções morais, independente das consequências.
qstr_Temperance._Also_cal|Temperança. Também chamada de Autocontrole, resiste à atração dos prazeres a fim de tornar o corpo governável. Temperança representa a contenção e controle sobre paixões e desejos.
qstr_Justice._It_symboliz|Justiça. Ela simboliza respeito pela lei e promove recompensa ao bom e punimento ao mal.
qstr_You_are_a_foreigner.|Você é um estrangeiro.
qstr_You_come_from_far_aw|Você veio de longe, buscando conhecer o norte da Europa, um mundo com dezenas de pequenos Reinos, todos molestados pelos Vikings.
qstr_You_are_Scoto_Pict|Você é Scoto-Picto,
qstr_a_descendant_of_an_a|um descendente de um antigo povo de origem incerta que habitava partes do norte da Bretanha, ou de invasores Goidelic agora misturados.
qstr_You_are_Briton|Você é Bretão,
qstr_a_member_of_the_Celt|um membro do povo Celta que habitava a Bretanha desde antes da invasão romana.
qstr_You_are_Goidel|Você é Goidel,
qstr_a_member_of_Celtic_p|um membro do povo Celta que habita a ilha de Eriu, a qual os romanos chamavam Hibernia.
qstr_You_are_Frisian.|Você é o Frísian.
qstr_You_come_from_the_di|Você veio do país de dique da Friese, na borda norte da Europa continental.
qstr_You_are_a_Norseman|Você é um Nórdico,
qstr_a_member_of_the_paga|um membro dos povos pagãos nativos da Scandia que atacam a costa da Europa.
qstr_You_are_Anglo_Saxon|Você é Anglo-Saxão,
qstr_a_descendant_of_a_Ge|um descendente de um povo Germânico que, em tempos antigos, habitou em Sleswick, próximo à foz do Elba. Seu povo tem tomado a Bretanha por quatrocentos anos.
qstr_an_impoverished_nobl|um nobre empobrecido
qstr_You_came_into_this_w|Você veio a este mundo como {reg59?filha:filho} de uma família em declínio de influência. Até então, as propriedades se foram e somente a casa em que você vivia permaneceu como posse. No entanto, apesar de suas dificuldades, seus pais te deram uma boa educação, preparando você desde a infância para a chance de se tornar um companheiro da realeza.
qstr_a_travelling_merchan|um mercador viajante
qstr_You_were_always_movi|Vocês sempre estiveram se mudando de um lugar para outro procurando fazer lucro. Embora seus pais fossem mais ricos do que a maioria e te dessem a melhor educação que puderam, você encontrou poucas chances de fazer amigos na estrada. Quando você conseguia fazer um amigo, você sempre ficava feliz pela chance de vender-lhes algo.
qstr_a_craftsman|um artesão
qstr_Your_father_s_abilit|A habilidade de seu pai em fazer coisas bonitas e úteis sempre foi altamente valorizada pela comunidade. Você cresceu acostumado a viver com algum conforto e luxos..-- e você pode diferenciar um martelo, de um malho.
qstr_a_priest|um padre
; qstr_You_were_placed_in_t|You were placed in the care of a monastery when but an infant. The brothers were not true parents, but provided care and camaraderie. Your mother visited you sometimes, but you have never heard from your father. Your life has been easier than most, as you always enjoyed a full dish at table after a long day of hard work.
qstr_a_peasant|um camponês
qstr_You_were_born_into_a|Você nasceu em uma pequena comunidade, dirigida por um Lorde nas proximidades. Sua infância feliz o bastante, mas havia pouco tempo para brincar. Praticamente desde o momento em que você pode andar, você foi posto a trabalhar colhendo repolhos com seus dedos congelados.
qstr_an_outlaw|uma fora da lei
qstr_Your_education_was_r|Sua educação foi bastante informal. Vivendo em cabanas abandonadas ou mesmo ao longo da estrada, você foi colocado pra trabalhar mendigando até que você se tornou mais útil em cortar bolsas. Alguns podem dizer que sua infância foi um desperdício, mas ninguém conhece as sombrias ruelas e segredos das cidades como você conhece.
qstr_{s1}^^You_were_born_|{s1} ^ ^ você nasceu anos atrás para {s2}. {s3}
qstr_Your_family_baptised|Sua família o batizaou na cristandade romana,
qstr_and_you_were_fascina|e você ficou fascinado pelas histórias que o padre contava quando visitava sua vila. Desde aqueles dias, você permaneceu dedicado àquela religião. O cristianismo é baseado nas Escrituras, o testemunho de vida de Jesus e os ensinamentos de seus Apóstolos.
qstr_Your_family_believed|Sua família acredita nos Deuses Escandinavos.
qstr_You_soaked_up_all_of|Você absorveu todas as histórias, contadas noite adentro com todos reunidos ao redor da lareira. Você é um crente firme nos antigos caminhos. Seu culto dá a todas divindades o seu tributo: Odin, o Deus chefe; Thor, o Deus do céu e trovão; Freya, a Deusa do amor, e todo o resto necessário para orientar todos os diferentes processos do mundo.
qstr_a_page_at_a_nobleman|uma pajem no salão de um nobre
qstr_You_were_chosen_to_b|Você foi escolhido para ser um companheiro de um dos mais ricos nobres do Reino, então lhe foi dado um lugar no salão. Servindo os mais altos membros do agregado familiar, suas primeiras lições foram em humildade. Em compensação, havia todos os tipos de entretenimento: jogos de xadrez, fofocas, bardos visitando para recitar poemas de grandes feitos e amores. Você foi puxado mais pelo mundo de conflito e competição. Você jogou jogos violentos com outras crianças, golpeando uns aos outros com varas como espadas. Tais jogos proporcionaram valiosas lições para sua vida atual.
qstr_a_craftsman_s_appren|um aprendiz de artesão
qstr_Your_parents_sent_yo|Seus pais lhe enviaram para aprender uma profissão. Depois de anos de trabalho duro e estudo sob seu novo mestre, ele o promoveu primeiro a artesão por comissão e finalmente, artesão totalmente pago enquanto você desejasse ficar. Você se tornou adepto a ferramentas e artesanatos.
qstr_a_shop_assistant|um assistente de loja
qstr_In_the_employ_of_a_s|A serviço de um lojista, você aprendeu a atrair o interesse das pessoas e convencê-las com palavras. Viajando de um lugar para outro em caravanas de comércio, você aprendeu os costumes de muitos povos diferentes e o comportamento adequado em cada cultura.
qstr_a_street_urchin|um menino de rua
qstr_You_ended_up_in_the_|Você acabou nas ruas, fazendo tudo o que devia para sobreviver. Implorar e roubar para ganhar seu pão, diariamente envolvido neste mundo violento, sempre um passo à frente da lei e outros que queriam pegar você.
qstr_a_farmer_child|um criança de fazenda
qstr_You_put_your_strong_|Você colocou suas costas fortes pra ajudar com o trabalho agrícola. Você aprendeu sobre a terra e o gado que pastou nele. Alguns anos desfrutou de boas colheitas, mas em outros você sobreviveu em um estômago vazio. Você se tornou imperturbável e adepto em adaptar-se a cada circunstância.
qstr_{s1}^^You_spent_your|{s1} ^ ^ você passou sua juventude como {s2}. {s3}
qstr_Formerly_being_a_sla|Primeiramente, sendo um escravo,
qstr_your_adult_life_was_|sua vida adulta foi cheia de miséria. Forçado a fazer todas as tarefas braçais difíceis por seus donos, você cresceu pra ser de pele grossa, rápido e forte. Às vezes seus mestres lhe davam nenhuma comida, então você teve que aprender a forragear na natureza, a fim de satisfazer a sua fome. Seu mundo era pequeno e monótono. Os dias pareciam serem sempre os mesmos. Chuva e sol puniram seu corpo durante estes dias de trabalho sem fim. Do nascer ao pôr do sol, com as costas doendo todo o tempo, sua única recompensa era ver mais um dia, apesar de alguns de seus colegas sofredores não terem tido tanta sorte. Quando você tinha algum tempo livre..--algo que raramente acontecia..--você praticou arremesso de pedras com um estilingue simples. Você pode acertar uma cabaça seca a alguns passos distantes e fazê-la explodir com uma rachadura satisfatória.
qstr_Formerly_you_were_a_|Primeiramente, você foi um padre.
; qstr_When_you_were_not_wo|When you were not working or studying at the monastery, you traveled around spreading the word of God. Anyone who listened to you was greatly impressed with the passion of your sermons. Though you had kept the vow of poverty through all those itinerant years, you never lacked for food, drink or shelter, as the hospitality of the peasants was particularly generous toward a rising {reg59?woman:man} of God. Now and then, the villagers came to the monastery to purchase the unique products that you made. ^^Healing is another of your abilities. Your skill mended many a broken bone and kept many a soul in its body instead of venturing into God's hands. Full of faith, you feel safe outside the thick monastery walls. You are armed with nothing more than a rod or a staff, symbols of the divine ones that comfort you.
qstr_Formerly_you_were_a_t|Primeiramente, você foi um viajante.
qstr_Responding_to_the_ca|Respondendo ao chamado da estrada, você viajou de uma vila para outra, comercializando tudo o que você poderia encontrar. Isso não é uma vida próspera, mas você se tornou um mestre em conseguir um bom preço até mesmo da mais avarenta das solteironas. Em breve, você será capaz de criar seu próprio império mercante.
qstr_Formerly_you_were_a_p|Primeiramente, você foi um caçador.
qstr_Unsatisfied_with_com|Insatisfeito com o desejo desesperado de riqueza dos homens comuns, você pegou a generosidade das florestas pessoais de seu Lorde local e ajudou a si mesmo, leis que se danem. Você caçou veados, javalis e gansos e vendeu sua carne debaixo da mesa. Você cortou árvores bem debaixo do nariz dos vigilantes e as transformou em lenha para aquecer muitas casas congelando durante invernos severos. Você percebeu que honra é bem fácil trocar por alguma prata de difícil de encontrar. Quando os tempos difíceis vieram, você forrageava por comida e tornou-se um especialista em achar plantas comestíveis na natureza.
qstr_Formerly_you_were_a_f|Primeiramente, você foi {reg59?mulher:homem} livre e além disso, {reg59? dona: dono} de um pouco de terra.
; qstr_{reg59?Being_wife_to|{reg59?Being wife to a free man meant that you at least had it easier than did the wives of the servants. You owned some servants who helped you with the hard work, but since your husband didn't own a lot of land, you still had to do a variety of tasks that peasant wives have to do. Your husband had to pay rent to his overlord and owed him labour services for the land. When the lord was involved in a war, your husband had to answer his call for foot soldiers. In those times, he had to rely on his shield and spear in the thick of battle. He often taught you how to fight properly with those arms in case he wouldn't be available to defend your home. :This meant that you at least had it easier than the servants. You owned some servants who helped you with the hard work, but since you didn't own a lot of land, you still had to do a variety of tasks that peasants have to do. You had to pay rent to your overlord and owed him labour services for the land. When the lord was involved in a war, you had to answer his call for foot soldiers. In those times, you had to rely on your shield and spear in the thick of battle.}
qstr_{s1}^^Through_persis|{s1} ^ ^ Através de persistência e um pouco de sorte, você aprendeu como obter favores com um dos Lordes locais. Eventualmente, ele o recomendou ao Rei, que concedeu a você um pequeno feudo de suas próprias posses. Agora você deve provar-se digno da confiança que lhe foi dada.
qstr_{s1}^^Then_you_happe|{s1} ^ ^ Então você passou a capturar o interesse de um jovem Lorde. Ignorando tradição e os estridentes apelos de seus conselheiros, ele casou com você, mas logo depois sofreu acidentalmente um ferimento fatal durante um torneio. O Lorde não tinha uma tio vivo, irmão ou filho. Você, portanto, assumiu sua pequena, negligenciada propriedade, assim como os outros Lordes do Reino a consideraram como tendo se tornado disponível. Agora você deve estabelecer-se em suas terras.
qstr_{s1}^^Through_persist|{s1} ^ ^ Através de persistência e um pouco de sorte, você aprendeu a obter favores com um dos Lordes locais. Uma série de eventos, tendo deixado o Reino sem um regente, ele propôs a você a partilha do reinado como um compromisso entre facções rivais. Você foi deliberadamente escolhido para ser o parceiro menor, mas uma doença súbita e fatal do Rei-Sócio, lhe deixou como único regente. Nem todo mundo está feliz com essa sucessão de eventos, e Reinos vizinhos tomaram nota da aparente fraqueza de seu reino. Agora você deve estabelecer o seu domínio.
qstr_{s1}^^Then_you_happen|{s1} ^ ^ Então você passou a capturar o interesse do jovem Rei. Ignorando tradição e os estridentes apelos de seus conselheiros, ele casou com você, mas logo depois sofreu acidentalmente um ferimento fatal durante um torneio. O rei não tinha um tio vivo, irmão ou filho. Enquanto os senhores debatem sucessão, os Reinos vizinhos tomaram nota da aparente fraqueza de seu reino. Agora você deve estabelecer o seu domínio.
qstr_>_Viking_Conquest_Ma|> Viking Conquest Campanha Principal
qstr_A_storyline_campaign|Uma campanha de enredo com uma missão principal e outras características especiais.
qstr_>_Sandbox_Campaign|> Campanha de Mundo Aberto
qstr_No_main_story_or_spe|Nenhuma história principal ou características especiais. Você está livre para jogar como quiser.
qstr_>_Lordly_Sandbox_Cam|> Campanha de Mundo Aberto Nobreza
qstr_You_start_as_a_lord_|Você começa como um Lorde ou Lady de uma facção.
qstr_>_Royal_Sandbox_Camp|> Campanha de Mundo Aberto Realeza
qstr_You_start_as_leader_|Você começa como líder de uma facção. Vida longa ao Rei!
qstr_STAMINA_>_Realism_Fe|RESISTÊNCIA > característica de realismo.
qstr_This_feature_affects|Esta característica afeta o jogador e todos os personagens do jogo. ^ Resistência é calculada a partir da Habilidade de Atletismo e de Vitalidade e afeta a resistência física durante a batalha. Quando a resistência do personagem estiver esgotada, ele ou ela não será capaz de correr e seu dano de armas serão reduzidos pela metade.
qstr_ARMOR_PENALTY_>_Real|PENALIDADE DE ARMADURA > característica de realismo.
qstr_This_feature_affects_|Esta característica afeta o jogador e todos os personagens do jogo. ^ Seus pontos de habilidade irão deteriorar-se quando você equipar armaduras pesadas. Esta habilidade traz melhor equilíbrio ao jogo, já que tropas leves tornam-se mais importantes.
qstr_EASY_RECRUITMENT_>_B|RECRUTAMENTO FÁCIL> característica de Iniciante.
qstr_When_you_ask_permiss|Quando você pedir permissão nas Vilas para recrutar, a resposta será sempre positiva e sem custo. Não recomendado para jogadores que gostam de encenação e imersão.
qstr_RESTING_MORALE_>_Rea|DESCANSO MORAL > característica de realismo.
qstr_INSANE_DIFFICULTY_>_|DIFICULDADE INSANA > característica de Jogador Avançado.
qstr_Your_troops_need_thr|Suas tropas precisam de três vezes a experiência normal para serem promovidos. Seus inimigos causarão o dobro de dano enquanto você causará apenas metade. Recomendado apenas para jogadores hardcore.
qstr_GORE_>_+18_Feature.|SANGUINOLÊNCIA > característica +18.
qstr_DISABLE_SCENIC_MENU_|DESATIVAR MENU CÊNICO> característica de desempenho.
qstr_Disable_the_3D_view_i|Desativar a visão 3D nos menus para melhorar o tempo de carregamento em máquinas mais lentas.
qstr_SHIELD_BASH_>_Realis|GOLPE DE ESCUDO > característica de realismo.
qstr_Player_and_AI_troops|Jogador e tropas de IA serão capazes de golpear os inimigos com seus escudos.
qstr_...Anno_Domini_868..|... Anno Domini 868...
; qstr_My_name_is_Beda_the_|My name is Beda the Old, and if you delve into this world, I recommend you listen carefully...^^Britain. The Britons call her Ynys Prydein, the Goidels call her Alba while the Angles and Saxons gave the name of Englaland to the lands they conquered. These islands are large, rich and beautiful... and are coveted. So the land is currently at war and respects only the law of the sword and spear. Realms are born and killed off, and kings die on the battlefield. Women are widowed, and horses carry arms instead of hay. The shouts of warriors fill the air, and the earth lies barren from the trampling of armies. As in past eras of strife, mortal enemies rise, equipped in armour. Ravens are calling, wolves are howling, spears clash and shields answer.^^In the north, the kingdoms of the Angles crumble before the advance of the Danes. The sons of the notorious Viking lord Ragnar, the new lords of these lands, now rule Bernaccia, Deira and Elmet, the land known as Northhymbre. ^^In the south, the Saxons of West Seaxe, led by the Brytenwalda Aethelred and his brother Aelfred, prepare for war. They know that on the other side of the sea, more Danes prepare to cross the ocean in search of fame and wealth. ^^Pushed into the remote fringes of their native land by centuries of landward invasion, the native Britons now are threatened by Vikings on their coasts. They fight desperately not to lose what little they have left, dreaming of a king to unify them all and lead them to final victory -- a new King Arthur. The reality is that their equitable inheritance laws keep the holdings of each lord small and unity harder to achieve. Nevertheless, one strongman, Rhodri the Great of Gwynedd, has begun to impose his will over the rest of Wales. ^^In the lands of the far north, Norwegian invaders thirty years ago wiped out the old competing Gaelic and Pict aristocracies in one fatal blow at a chance three-way battle. After this disaster, Gaelic strongman Cinead McAlpin started to forge a new kingdom out of the two peoples, but they have been driven to the highland center of their former territories. ^^Across the sea, in Ireland, Aed 'Fair Warrior' mac Niall of Aileach has emerged as high king in Temair after overcoming his enemies, but it is nothing more than a prestigious title. His claim is never accepted by the other half of the Ui Neill, and the fighting for land, women and cattle, in the sort of fratricidal wars endemic to that land, continues unabated. Meanwhile, both Danish and Norwegian Vikings have established dozens of coastal strongholds. They use the rivers to plunder the Goidelic hinterland, but they are all too prone to join the native conflict -- on all sides. ^^^The world is chaos, and chaos is war.
