qstr_Breaking_camp...|Levantando el campamento...
; qstr_{s1}^^Through_persist|{s1}^^Through persistence and a little luck, you learned how to curry favor with one of the local lords. A series of events having left the kingdom without a ruler, he proposed you to share the kingship as a compromise between contending factions. You were deliberately chosen to be the minor partner, but a sudden fatal illness of the other share-king has left you sole ruler. Not everyone is happy about this turn of events, and neighboring kingdoms have taken note of the apparent weakness of your realm. Now you must establish your dominion.
; qstr_{s1}^^Then_you_happen|{s1}^^Then you happened to catch the interest of the young king. Ignoring tradition and the strident pleas of his advisors, he married you, but shortly thereafter suffered an accidental fatal wound during a tournament. The king lacked a living uncle, brother, or son. As the lords debate succession, the neighboring kingdoms have taken note of the apparent weakness of your realm. Now you must establish your dominion.
; qstr_>_Viking_Conquest_Ma|> Viking Conquest Main Campaign
; qstr_A_storyline_campaign|A storyline campaign with a main quest and other special features.
; qstr_>_Sandbox_Campaign|> Sandbox Campaign
; qstr_No_main_story_or_spe|No main story or special features. You are free to play as you wish.
; qstr_>_Lordly_Sandbox_Cam|> Lordly Sandbox Campaign
; qstr_You_start_as_a_lord_|You start as a lord or lady of a faction.
; qstr_>_Royal_Sandbox_Camp|> Royal Sandbox Campaign
; qstr_You_start_as_leader_|You start as leader of a faction. Long live the king!
; qstr_STAMINA_>_Realism_Fe|STAMINA > Realism Feature.
; qstr_This_feature_affects|This feature affects the player and all game characters.^Stamina is calculated from Health and Athletic skills and affects physical endurance during battle. When a character's stamina is exhausted, he or she won't be able to run and his or her weapons' damage will be halved.
; qstr_ARMOR_PENALTY_>_Real|ARMOR PENALTY > Realism Feature.
; qstr_This_feature_affects_|This feature affects the player and all game characters.^Your skill points will deteriorate when you equip heavy armor. This skill brings better balance to the game, as light troops become more important.
; qstr_EASY_RECRUITMENT_>_B|EASY RECRUITMENT > Beginner's Feature.
; qstr_When_you_ask_permiss|When you ask permission in the villages to recruit, the answer is always positive and without cost. Not recommended for players who like role-play and immersion.
; qstr_RESTING_MORALE_>_Rea|RESTING MORALE > Realism Feature.
; qstr_INSANE_DIFFICULTY_>_|INSANE DIFFICULTY > Advanced Player's Feature.
; qstr_Your_troops_need_thr|Your troops need three times the normal experience to upgrade. Your enemies will cause double damage while you cause only half. Only recommended for hardcore players.
; qstr_GORE_>_+18_Feature.|GORE > +18 Feature.
; qstr_DISABLE_SCENIC_MENU_|DISABLE SCENIC MENU > Performance Feature.
; qstr_Disable_the_3D_view_i|Disable the 3D view in menus to improve the loading time for slower machines.
; qstr_SHIELD_BASH_>_Realis|SHIELD BASH > Realism Feature.
; qstr_Player_and_AI_troops|Player and AI troops will be able to bash enemies with their shields.
; qstr_...Anno_Domini_868..|...Anno Domini 868...
; qstr_My_name_is_Beda_the_|My name is Beda the Old, and if you delve into this world, I recommend you listen carefully...^^Britain. The Britons call her Ynys Prydein, the Goidels call her Alba while the Angles and Saxons gave the name of Englaland to the lands they conquered. These islands are large, rich and beautiful... and are coveted. So the land is currently at war and respects only the law of the sword and spear. Realms are born and killed off, and kings die on the battlefield. Women are widowed, and horses carry arms instead of hay. The shouts of warriors fill the air, and the earth lies barren from the trampling of armies. As in past eras of strife, mortal enemies rise, equipped in armour. Ravens are calling, wolves are howling, spears clash and shields answer.^^In the north, the kingdoms of the Angles crumble before the advance of the Danes. The sons of the notorious Viking lord Ragnar, the new lords of these lands, now rule Bernaccia, Deira and Elmet, the land known as Northhymbre. ^^In the south, the Saxons of West Seaxe, led by the Brytenwalda Aethelred and his brother Aelfred, prepare for war. They know that on the other side of the sea, more Danes prepare to cross the ocean in search of fame and wealth. ^^Pushed into the remote fringes of their native land by centuries of landward invasion, the native Britons now are threatened by Vikings on their coasts. They fight desperately not to lose what little they have left, dreaming of a king to unify them all and lead them to final victory -- a new King Arthur. The reality is that their equitable inheritance laws keep the holdings of each lord small and unity harder to achieve. Nevertheless, one strongman, Rhodri the Great of Gwynedd, has begun to impose his will over the rest of Wales. ^^In the lands of the far north, Norwegian invaders thirty years ago wiped out the old competing Gaelic and Pict aristocracies in one fatal blow at a chance three-way battle. After this disaster, Gaelic strongman Cinead McAlpin started to forge a new kingdom out of the two peoples, but they have been driven to the highland center of their former territories. ^^Across the sea, in Ireland, Aed 'Fair Warrior' mac Niall of Aileach has emerged as high king in Temair after overcoming his enemies, but it is nothing more than a prestigious title. His claim is never accepted by the other half of the Ui Neill, and the fighting for land, women and cattle, in the sort of fratricidal wars endemic to that land, continues unabated. Meanwhile, both Danish and Norwegian Vikings have established dozens of coastal strongholds. They use the rivers to plunder the Goidelic hinterland, but they are all too prone to join the native conflict -- on all sides. ^^^The world is chaos, and chaos is war.
; qstr_BEDA_CHRONICLE^^{s2}|BEDA CHRONICLE^^{s2}^^ {s3}
; qstr_{s1}On_head.___{reg2|{s1}On head. (-{reg2} intelligence)^{s2}^^
; qstr_{s1}On_face.___{reg2|{s1}On face. (-{reg2} charisma)^{s2}^^
; qstr_{s1}On_body.___{reg2|{s1}On body. (-{reg2} strength)^{s2}^^
; qstr_{s1}On_limbs.___{reg|{s1}On limbs. (-{reg2} agility)^{s2}^^
; qstr_Accumulated_Injuries|Accumulated Injuries:^^none
; qstr_Accumulated_Injuries:|Accumulated Injuries:^^{s1}A physician in a larger town can treat these injuries.
; qstr_Healing_wounds:^^non|Healing wounds:^^none
; qstr_Healing_wounds:^^{s1|Healing wounds:^^{s1}These wounds have been treated. They will heal on their own.
; qstr_{s1}On_head.___{reg1|{s1}On head. (-{reg1} intelligence)^^
; qstr_{s1}On_face.___{reg1|{s1}On face. (-{reg1} charisma)^^
; qstr_{s1}On_body.___{reg1|{s1}On body. (-{reg1} strength)^^
; qstr_{s1}On_limbs.___{reg1|{s1}On limbs. (-{reg1} agility)^^
; qstr_Scars:^^none|Scars:^^none
; qstr_Scars:^^{s1}These_in|Scars:^^{s1}These injuries have become permanent. They now can't be cured.
; qstr_Lifetime_wounds:_{re|Lifetime wounds: {reg1} so far.
; qstr_Current_party_size_l|Current party size limit: {reg0}.^^Renown: {reg34}^Combined leadership: {s2}{reg32}^Charisma: {s3}{reg33}^Fiefs: {s6}{reg35}^Ships (only in sea): {s7}{reg2}^^{playername} can completely manage {reg36} troops.^{reg59?She:He} currently has {reg37}.
; qstr_^Religious_Differenc|^Religious Differences:  -{reg7}
qstr_^No_food:___{reg7}|^Sin comida:  -{reg7}
; qstr_^Wage_debt:___{reg7}|^Wage debt:  -{reg7}
; qstr_Currently_falling_fr|Currently falling from: +
; qstr_Currently_rising_fro|Currently rising from: 
; qstr_{s11}{s10}{s12}|{s11}{s10}{s12}
; qstr_^^These_pagan_troops|^^These pagan troops cause trouble: {s11}
; qstr_^^These_Christian_tr|^^These Christian troops cause trouble: {s11}
; qstr_^^Player_currently_h|^^Player currently has more troops than can be completely managed.
; qstr_Current_party_morale|Current party morale: {reg5}.^^Base morale:  +{reg8}^Party size penalty: {s2}{reg1}{s14}^Lack of rest: {s3}{reg2}^Food variety: {s4}{reg3}{s5}{s6}^{s7}{reg4} {s8}{s13}^^{s19}
; qstr_{s18}^^_____________|{s18}^^----------------^^{s20}
; qstr_{s17}_^_{s18}|{s17} ^ {s18}
; qstr_{s15}_^_{s16}|{s15} ^ {s16}
; qstr_{s22}^^Friends:_^{s8|{s22}^^Friends: ^{s8} ^^Enemies: ^{s6}^{s19}
; qstr_^^Your_estates_are:_|^^Your estates are: ^{s18}^{s19}
; qstr_Mercenary_employed_b|Mercenary employed by the {s18}.^{s19}
; qstr_Report:_^^_{s19}|Report: ^^ {s19}
qstr_On_loan|prestado,
; qstr_is_{s16}_your_choice|is {s16} your choice of companions, {s17} your style of leadership, and {s18} the general state of affairs. Morale is {reg0}
; qstr_Companions_Info:^^_{|Companions Info:^^ {s19} ^^-----------^^ Currently:^^ {s7}{s1}
qstr_Loyal|Leal
qstr_Devoted|Devoto
qstr_Fond|Afectuoso
qstr_Gracious|Amable
qstr_Friendly|Amigable
qstr_Supportive|Solidario
qstr_Favorable|Favorable
qstr_Cooperative|Cooperador
qstr_Accepting|Tolerante
qstr_Indifferent|Indiferente
qstr_Suspicious|Receloso
; qstr_Unhappy|Unhappy
qstr_Resentful|Resentido
qstr_Angry|Enfadado
qstr_Hostile|Hostil
qstr_Hateful|Odio
qstr_Vengeful|Vengativo
; qstr_Sworn_Enmity|Sworn Enmity
; qstr_Your_relations_with_|Your relations with the kingdoms are:^^{s2}
; qstr_Build_your_personal_|Build your personal refuge.
; qstr_You_already_have_a_r|You already have a refuge built. Destroy your current refuge if you want to move it here.
; qstr_You_don_t_have_enough|You don't have enough money! The workers who would build a refuge for you demand 1000 peningas.
; qstr_You_need_to_have_mor|You need to have more than thirty men to start this job.
; qstr_Your_men_await_your_|Your men await your orders to start building the refuge. There is enough material collected so far, and what may be missing can be purchased in nearby villages.^^Total Cost: 1000 peningas.^Time need: 6 hours.
; qstr_{s2}^^_{s3}|{s2}^^ {s3}
; qstr_Camping_allows_your_|Camping allows your men to rest for a while and recover from the hard life of travels. It also allows you to forage, increasing your food supplies. This is particularly helpful when campaigning in enemy territory, where it is difficult to buy supplies.
; qstr_Traveling_by_sea_exh|Traveling by sea exhausts men completely. Allowing your warriors some rest time will help make the trip more bearable.
; qstr_You_are_in_the_kingd|You are in the kingdom of DANMARK.^^Danmark is an important Norse state in the Viking Age. The Danes not only maintain their independence against the powerful Frankish empire but also attack and plunder towns, churches and monasteries throughout Western Europe. Danish Vikings are excellent merchants who trade with most of their known world. A strong central authority has been established in Jutland, and the Danes now look beyond their own territory for land, trade and plunder. While the men are out at sea, the women manage the farms.
; qstr_You_are_in_the_kingdo|You are in the kingdom of NORTHVEGR.^^In Northvegr, mountainous terrain and fjords form strong natural boundaries. Communities remain independent of each other, and thirty small kingdoms exist in this land. The most powerful leaders of the petty kingdoms have entered a major power struggle. The sea is the easiest way to communicate between the Norwegian kingdoms and the outside world, and the people have become traders and explorers as well as plunderers. The lack of suitable farming land forces Norwegians to colonize the sparsely populated islands to the west. Norwegians carried out the early Viking raids on Britain and Ireland, but later the Danes joined in.
; qstr_You_are_in_the_kingdom|You are in the kingdom of LAITHLIND.^^Laithlind is the Norse-dominated part of Scotland and the Northern Islands, conquered by the Vikings three decades ago. This kingdom has become an operating base for Norwegian expansion in the British Isles. On the other hand, internal strife between the various strongmen is common.
; qstr_You_are_in_the_kingdom_|You are in the kingdom of FRIESE.^^Friese is region along the southeastern coast of the North Sea, the homeland of the Frisians, a people closely related to the Anglo-Saxons by language. The Frisian realm is an important trading region that extends from the north of Frankia to the border of Denmark. The Frisians lost their independence first to the Franks, but now their country is under the rule of the Danish.
; qstr_You_are_in_the_kingdom_o|You are in the kingdom of WEST SEAXE.^^West Seaxe is the westernmost kingdom of Saxons in Britain. Some decades ago, King Egbert conquered Mierce and secured his overlordship over the king of Northhymbre. He thereby became the Brytenwalda, or high king of Britain. This position of dominance was short-lived, but the expansion of West Seaxe across south England proved permanent. Egbert's later years saw the beginning of the Viking raids on West Seaxe. The Danes were decisively crushed by Egbert's son and successor, King Aethelwulf, in the Battle of Aclea. This victory postponed Danish conquests in England for fifteen years, but raids on West Seaxe continued. Aethelwulf was succeeded by each of his four surviving sons, ruling one after another: Aethelbald, Aethelbert, Aethelred, the current king, and Aelfred, currently sub-king.
