str_yes|Sí.
; str_rebellion_refuse_sadistic|No. I won't play your little game. You grasp at a crown, but I think instead you'll get a quick trip to the scaffold, and I'll be there by {s46}'s side to watch the headsman's axe drop.
; str_rebellion_refuse_goodnatured|I am sorry. I don't feel right turning my back on {s46}. No hard feelings when we next meet on the battlefield, eh?
; str_rebellion_refuse_upstanding|I am sorry. {s45}'s claim is not strong enough for me to inflict the curse of civil disorder on the poor wretches of this land. I will continue to back {s46}. May the Heavens forgive me if I do wrong.
str_talk_later_martial|¡Ahora no es momento de hablar de política! Estoy aquí hoy con mis camaradas, armados para la batalla. Será mejor que os preparéis para la lucha.
; str_talk_later_quarrelsome|Do you expect me to discuss betraying my liege with you while we are surrounded by his army? What do you take me for, a bloody idiot?
str_talk_later_pitiless|¡Cuidad vuestra lengua! Lo que tenga que decir sobre el asunto no lo diré aquí y ahora, cuando estamos rodeados por nuestros ejércitos.
; str_talk_later_cunning|This is hardly the time or the place for such a discussion. Perhaps we can discuss it at a later time and a different place, but for now, we're still foes.
str_talk_later_sadistic|¡Debéis cerrar la boca! ¿Sabéis qué pasaría si otros vasallos me ven hablando con vos sobre traición?
str_talk_later_goodnatured|¿Así que queréis hablar de rebelión conmigo? Intentadlo nuevamente cuando no estemos rodeados por el ejército de mi señor, y os escucharé.
str_talk_later_upstanding|Cualesquiera sean mis opiniones sobre la legitimidad de la sucesión, no las discutiré aquí y ahora. Si volvemos a vernos en privado, escucharé lo que tengáis que decir. Pero por ahora, consideradme vuestro enemigo.
str_gossip_about_character_default|Dicen que {s6} no es una persona carismática.
str_gossip_about_character_martial|Dicen que {s6} ama la guerra por encima de todo.
str_gossip_about_character_quarrelsome|Dicen que {s6} casi llegó a las manos con otro señor porque éste último hizo una broma acerca de su nariz.
; str_gossip_about_character_selfrighteous|I heard that {s6} had a ranger executed because the unfortunate man killed a deer in his forest.
str_gossip_about_character_cunning|Dicen que {s6} es un oponente astuto.
str_gossip_about_character_sadistic|Dicen que {s6} se divierte torturando a sus enemigos. No me gustaría tener problemas con él.
str_gossip_about_character_goodnatured|Dicen que {s6} es un buen hombre que trata a sus subordinados decentemente. No se puede decir lo mismo de muchos nobles.
str_gossip_about_character_upstanding|La gente dice que es bueno estar al servicio de {s6}. Es bueno con sus seguidores y los recompensa cuando trabajan bien.
str_latest_rumor|El último rumor que escuchaste sobre {s6} fue:
str_changed_my_mind_martial|No obstante, vuestras sabias palabras hacen que reconsidere mi posición.
str_changed_my_mind_quarrelsome|Pero creo que ya me habéis convencido de todas formas, maldita sea. Os escucho
; str_changed_my_mind_pitiless|But when you plead like that, I deign to reconsider.
; str_changed_my_mind_cunning|But you know, you're a well spoken bastard. That impresses me. I'm still listening.
str_changed_my_mind_sadistic|Pero como vuestra lengua de oro sabe ser bastante convincente, no rechazaré la idea todavía.
; str_changed_my_mind_goodnatured|However, you make a good case, so I'll try to keep an open mind.
str_changed_my_mind_upstanding|No obstante, sabéis argumentarlo bien. Os escucho.
; str_swadian_rebellion_pretender_intro|I am Thorgil of Ribe. I should be konungr of Danmark.
; str_vaegir_rebellion_pretender_intro|I am Dungal, son of Fergusa, of the Cenel nLoairn. I should be Ard Ri of Eriu!
; str_khergit_rebellion_pretender_intro|I'm Oswine, the exiled ealdorman of Northhymbre.
; str_nord_rebellion_pretender_intro|I'm Ceorl. I will soon rule over West Seaxe.
; str_rhodok_rebellion_pretender_intro|I am Bili, son of Brude and the next king of Alban!
; str_sarranid_rebellion_pretender_intro|Hello, foreigner. I am Cadwallon. I stand before you as the last heir of the kings of Gwynedd.
; str_swadian_rebellion_pretender_story_1|My father saved our people while that bastard, King Horik, was raiding abroad. He didn't think about what would happen if he left this land without any soldiers to protect it! My father was the one who did it!
; str_vaegir_rebellion_pretender_story_1|I had been the heir to my father's crown for 30 years, but last year that old mummy decided he wanted a new young lady to 'refresh' his life, if you know what I mean.
; str_khergit_rebellion_pretender_story_1|The Danish razed my lands. Supplied by that coward of a king of East Engle, they rode up from the south. Figuring that they were bent on revenge against King Aelle, each lord protected only his fief rather than heed the king's summons. But the Danes wanted everything. With only my own retainers, I knew I could not prevent them from taking my inheritance.
; str_nord_rebellion_pretender_story_1|My father was the king of Cent, the current king's brother. He honored his father, Aethelwulf, unlike his next brother, Aethelbald, who stole the throne and married his father's wife.
; str_rhodok_rebellion_pretender_story_1|For the last fifteen years, I rode through this land with my boys giving protection to the villages just for a couple of coins and food. Just what we deserve.
; str_sarranid_rebellion_pretender_story_1|I am the namesake of my ancestor, who defeated Eadwine of Deria in the battle of Haethfelth Chase. After that, we were kicked from the throne, and my family had to live far from the crown... until now.
; str_swadian_rebellion_pretender_story_2|When the king came back from his adventure with tons of silver and those odd crosses, he was afraid of us. My father had inspired much loyalty among those who were here when the bandits attacked. That coward kicked us out of our own homes! Just a few months later my father committed suicide, unable to live with the dishonor. Since then, I have been living with people loyal to our cause, those who knew that the real leader of our people was my father.
; str_vaegir_rebellion_pretender_story_2|Unfortunately for me, that little Queen is really fertile, and they have had a child, with the king being 62 years old... After so many years of poisoning his wives in order to abort their legitimate heirs... now this! It appears that my father would rather have a child heir than a bastard adult heir.
; str_khergit_rebellion_pretender_story_2|All who had not openly joined them, they kicked off their ancestral lands. Just like that, the kingdom that had lasted centuries disappeared. Our forefathers would be ashamed.
; str_nord_rebellion_pretender_story_2|Before all that, unfortunately, my father died defending the kingdom from the first invasion of the Danish under Ragnar Lodbrok sixteen years ago. The incestuous Aethelbald then enjoyed the fruits of my father's sacrifice, dying in peace nine years later. I was still considered too young to assume a throne, and my uncles Aethelbehrt and Aethelred ascended through the kingships of Cent and Wessex in turn.
; str_rhodok_rebellion_pretender_story_2|Only the big cities have turned us down. They said the real danger was us, that we didn't give them protection, and that we were extortionists. But these are all lies, damned lies! The actual thieves are those who call themselves tiarna and the worst one is that son-of-a-usurper king.
; str_sarranid_rebellion_pretender_story_2|The kingdom has suffered greatly the last few years with the usurpers at its helm. I think the masses have had enough. They would support me in a fight for the throne.
; str_swadian_rebellion_pretender_story_3|The whole kingdom owes its existence to my father and those who fought next to him, people like my men and I. I have enough men to take the capital and defend it while another brave man like you can conquer and defend the other strongholds. Together, we can take back what King Horik owes me.
; str_vaegir_rebellion_pretender_story_3|But his new dynasty is not going to survive long. The other members of our clan are already jostling for power. A strong king would keep them united against our enemies! I need your help to support my rights to the crown, for my father will never accept me over his last son. We need to fight for the future of the kingdom.
; str_khergit_rebellion_pretender_story_3|However, I have since united all my people under my banner again. I have gathered even more men that any of my ancestors, but I'm afraid I need more good leaders. Some of the best commanders died in futile resistance to the Danes. I can offer you to lead one of my armies, and, if we achieve our goal, you might have your own city to rule.
; str_nord_rebellion_pretender_story_3|It is clear to me that my grandfather's line weakened successively after my father. Aethelred is too pious and Aelfred too bookish; together they have been unsuccessful resisting the Danish. I am more like my father. I can vigorously defend this land. With your help, we will bring peace and prosperity back to our kingdom, and perhaps all Britain.
; str_rhodok_rebellion_pretender_story_3|We are planning to assault the thief's main castle and end his reign of fear. The people of this land will pay only us for protection; I will not tolerate any competition. Join me and my band, and I will bury you in so much silver that you will be able to swim in it. I will give you a collection commission!
; str_sarranid_rebellion_pretender_story_3|I just need good captains for my armies and, if possible, good soldiers under them. Together we will revive my family's honor and obtain the position that I deserve. Come with me, gather your soldiers, and our names will never be forgotten. Swear by me, and you will never regret it.
; str_swadian_rebellion_monarch_response_1|That child again is pretending to be the true king over my lands... I should have sent him farther away when I had a chance. Without all the silver we brought, this kingdom would be nothing. If I had any idea that my lands would be razed by bandits, I would have never taken so many soldiers with me.
; str_vaegir_rebellion_monarch_response_1|That young man will never understand his place in this world. He is a bastard. He will never have any rights except the ones he earns in service to his lord. He is my son, but he will never be king, not even if my little baby dies someday.
; str_khergit_rebellion_monarch_response_1|Who? I don't know that name. The Danish help me establish my claim, and there is nothing left for those who have lost their right to the land.
; str_nord_rebellion_monarch_response_1|My nephew was a good knight some years ago. Then he started to associate with certain of his father's retainers and now believes only what they say. They've put notions in his head, thinking to regain positions of influence.
; str_rhodok_rebellion_monarch_response_1|He is nothing but a bandit. For the last few years, he has been extorting silver from my villages. He pretends to be the protector of those villages from 'bandits,' when it is they who are the bandits!
; str_sarranid_rebellion_monarch_response_1|It is true that we are going through tough times, but the people know it is because our merchants have been suffering under constant raids. Now that I know he is in my kingdom, I can say he is the one responsible for those attacks.
; str_swadian_rebellion_monarch_response_2|They can try to attack us, but they don't have enough men to take even one of my villages, ha! Take my advice. Ignore him. He will never be anything but a chatterbox.
; str_vaegir_rebellion_monarch_response_2|Only if he came and knelt in front of me would I will be willing to forgive his faults and let him live somewhere far away from my legitimate son.
; str_khergit_rebellion_monarch_response_2|I will not tolerate any pretender to my crown. He and everyone who supports him will be arrested if they try anything unlawful. These are my people now, and I will protect them.
; str_nord_rebellion_monarch_response_2|I do not desire to bind his hands, but I have my mine full with the Danish and can't be on guard against a possible back stab. No one controls events, and the succession moves on. He never understood this.
; str_rhodok_rebellion_monarch_response_2|They are going to suffer for the pain they have caused my people. Not one of them will survive.
; str_sarranid_rebellion_monarch_response_2|It is my duty to protect all of my people from any danger in my kingdom. I will capture him and we will have a 'talk.' This situation can't stay like this any longer.
str_courtship_comment_conventional_generic|es de muy buena cuna
str_courtship_comment_adventurous_generic|parece aceptable
