qstr_Breaking_camp...|Stai smantellando l'accampamento...
qstr_{s1}^^{s2}_of_the_{s|{s1}^{s2} del  {s3}^Relazione {reg3}^Ultima visita {reg4} giorni fa
qstr_{reg2}_warriors_acco|{reg2} guerrieri accompagnano il re.
qstr_{s2}^^{reg2}_warrior|{s2}^^{reg2} guerrieri servono i vari signori del regno.
qstr_{s2}^^{reg2}_warriors|{s2}^^{reg2} guerrieri di guarnigione nelle nostre città.
qstr_{s2}^^{reg2}_warriors_|{s2}^^{reg2} guerrieri di guarnigione nelle nostre fortezze.
; qstr_Kingdom_Armies_Repor|Kingdom Armies Report:^Land levy not included^^^{s2}
qstr_{s10}Current_fleet:{|{s10}Flotta corrente:{s0}^^
qstr_{s10}Refuge:{s0}^^|{s10}Rifugio:{s0}^^
qstr_{s10}Port_of_{s9}:{s|{s10}Porto di {s9}:{s0}^^
qstr_{s10}Landed_ships_ne|{s10}Navi sbarcate vicino a {s9}:{s0}^^
qstr_You_don_t_own_any_sh|Non possiedi nessuna nave.
qstr_Your_ships_with_ship|Le vostre navi per tipo, nome, condizione attuale e tipo di legno: ^^{s10}
; qstr_Rents_and_taxes_from|Rents and taxes from the {reg59?queen:king}'s holdings: {reg0} peningas.
qstr_{s2}^Taxes_from_king|{s2}^Tasse imposte dai signori del regno: {reg0} denari.
qstr_{s2}^^Kingdom_Total_|{s2}^^Introiti Totali del Regno: {reg0} denari.
; qstr_Payroll_for_the_{reg|Payroll for the {reg59?queen:king}'s army: {reg1} peningas.
qstr_{s3}^Payroll_for_gar|{s3}^Libro paga della guarnigione: {reg1} denari.
qstr_{s3}^^Kingdom_Total_|{s3}^^Spese totali del regno: {reg1} denari.
; qstr_Kingdom_Economy_Repo|Kingdom Economy Report:^^INCOME:^Tax losses are variable^^{s2}^^^^EXPENSES:^These values could vary because of events or extraordinary expenses.^^{s3}^^^^The result of the accounts of the realm is: {reg0} peningas
qstr_{s4}^^{s2}^Relation:|{s4}^^{s2}^Relatione: {s3}^Prosperità: {s50}^Redite: {reg0}^Tariffe: {reg1}
qstr_{s5}^^{s2}^Relation:|{s5}^^{s2}^Relatione: {s3}^Prosperità: {s50}^Rendite: {reg0}
qstr_{s2}^No_information.|{s2}^Nessuna informazione. Questo villaggio è occupato dai banditi.
qstr_{s6}^^{s2}|{s6}^^{s2}
qstr_{s6}^^{s2}^Relation:|{s6}^^{s2}^Relatione: {s3}^Prosperità: {s50}^Rendite: {reg0}
qstr_Kingdom_Centers_Repo|Rapporto sulle Propietà del Regno:^^^--Città-- {s4}^^^^--Forti-- {s5}^^^^--Villaggi--{s6}^^
qstr_Appoint_next_marshal|Nominare il prossimo Comandante in capo
qstr_Award_{s12}_as_fief|Ottieni {s12} come feudo
qstr_Kingdom_Global_Info:|Informazioni Globali sul Regno:^^{s10}^^{s9}
qstr_From_this_area_you_c|Da questa zona, puoi dare questi ordini nel regno:
; qstr_>_Order_the_army_to_|> Order the army to gather.^^> Order all resources to be focused on the defense of the kingdom.^^> Order the landed levy to be called out. This is done only in situations of common peril or high campaign, as the levy requires all free and most capable men of fighting age to join.
qstr_>_Kingdom_Strategy|> Strategia del Regno
qstr_You_have_given_the_o|Hai dato ordine che tutti gli eserciti dei signori di tutto il regno vengano da voi.
qstr_You_have_given_the_or|Avete dato ordine di fare ogni sforzo per difendere il regno.
qstr_The_landed_levy_of_t|La tassa d'importazione dell'intero Regno sarà conclamata. Praticamente ogni uomo capace di combattere si unirà a te.
qstr_^^^^^^^^{s2}^^{s3}|^^^^^^^^{s2}^^{s3}
qstr_My_name_is_Beda_the_O|Mi chiamo Beda il Vecchio e questa è la storia della mia vita...
; qstr_They_weren_t_good_ti|They weren't good times. In Anno Domini 861, my master, Bishop Swithunus, died. Before he died, he told me that the end of time was coming.^^In 865, a pagan army attacked Cent. Men from Cent managed to placate them, but under the pretence of peace and the lure of money, the invaders pillaged the country nevertheless.^^Later that year, in East Anglia, a large pagan army made winter quarters. The following summer, King Eadmund, eager to see them off, quickly horsed them. This was no raiding party; it became known as the Great Heathen Army. Thousands of men, led by the sons of Ragnar, had come to stay.^^In 867, the end of time started, as Swithunus had predicted. The Great Heathen Army of Danes went over the mouth of the river Humbre to Eoferwic. They captured the town, and there was an immense slaughter of the Northumbrians. Both kings, Osbert and Aella, were slain. So now the Danish rule the north, imposing their laws and pagan ways... Where is God when you need him?^^In the south, the Friese coast was being devastated by Vikings. Merchant ships fled north, seeking the protection of West Seaxe.^^In Ireland and Wales, the pagans were becoming more powerful each day. Many said that the Dal Riata and land of the Picts would soon be no more...
qstr_BEDA_CHRONICLE^^{s2}^|CRONACHE DI BEDA^^{s2}^^{s3}
qstr_The_news_coming_from|Le notizie provenienti dal nord erano inquietante. I figli di Ragnar assoldano uomini per avanzare sulla Mercia. Era ancora un grande esercito; Tuttavia, ci si aspettava rinforzi da Danmark. Dio ci protegga.
; qstr_Some_merchants_repor|Some merchants report that Sigurd 'Snake in the Eye,' Ragnar's son in Danmark, is bringing warriors on hundreds of boats. I overheard some of the king's advisers in Witan Ceaster saying that the Danish want to destroy all the kingdoms of Englaland.^^The only good news I heard was when a messenger informed us that some Danish sent by Jarl Sigurd to attack Friese were defeated in Doccinga.^^That was the first time I heard the name of {playername}, who had led the defense of Doccinga.^^Little did I know then that {reg59?she:he} was going to be an important figure in my life.
; qstr_There_was_a_man_call|There was a man called Egbert, or I should say a king, Egbert Cyning, for he was king of Northhymbre. But he was a puppet king, chosen by the Vikings because he was a weak man whom they could handle. Was this the fate that awaited us also?
; qstr_In_Anno_Domini_868_t|In Anno Domini 868, the Vikings took Snotingaham. There was fear, much fear, but West Seaxe and Mierce joined forces. Aelfred of West Seaxe, the king's brother, was married to Ealswith, daughter of Aethelred Mucel, ealdorman of the Gaini, and of Eadburh, from the royal line of the king of the Mercians.^^The two realms called the fyrd to war. West Seaxe advanced on Snotingaham from the south, and Mierce joined them on the way. Maybe they could finally put an end to the advance of the sons of Ragnar?^^My life was about to change, but I did not know that.
; qstr_I_still_dream_of_Dou|I still dream of Douar-an-Enez when I close my eyes. No man of God should allow such dreams -- it was as if the devil had escaped from prison and taken over the world.
; qstr_I_remember_sailing_i|I remember sailing into battle and vomiting several times. My hands were shaking and a painful chill overlaid my spine. I was no warrior, but my fate lay with {playername} and {reg59?her:his} men. If we were defeated, we would die with the rest. Fortunately, by some miracle of God, I survived. Too many did not, including Bodo, with whom, I hear, {playername} had spent much time since they first met on a ship called the Woden Ric. I figured Bodo would be a great loss for {reg59?her:him} after everything that had happened, but {reg59?her:his} face was imperturbable, and no one dared to ask {reg59?her:him} how {reg59?she:he} felt.^^After the two battles of Douar-an-Enez, we spent a few weeks in the remains of the village, healing the wounded, burying the dead, and recovering from all that had passed. I really think that times like that are when my work is most needed. Many came to me to find comfort and to thank me for all my words over the dead.^^Then we sailed back to Englaland, where, we didn't yet know, the world had changed...
; qstr_Maybe_part_of_him_is|Maybe part of him is left in the baby that he had with Thora, daughter of Ulf from Danmark. The boy, named after his father, grows strong and healthy, and promises to be a powerful man someday.
qstr_My_name_is_Beda_and_|Il mio nome è Beda, e questo libro inizia come una cronaca di un periodo buio, ma il tempo non è così terribile, come se fosse oscurato da un eroe.
; qstr_I_was_there_when_the|I was there when the armies of the Saxons and Danes fought at Aescendun. I was there when {playername} changed the course of history. But even this and what happened next pales in importance when the world lost its hero. I remember it like it just happened, when we entered the hall and watched as Sven Bull Neck finished off {playername}'s mother. I remember {reg59?her:his} face. It became ice cold. Neither anger nor fear nor crying; only coldness. I assure you that Sven Bull Neck turned pale because he knew that his death was inevitable. We fought in the hall and Sven died, but that did not change the hardness of the face of {playername}. Neither then nor later, at the funeral of {reg59?her:his} mother, revered like a queen, and buried with rich grave goods in a warship.^^After that day, we lost our hero. {reg59?She:He} said farewell to us, who we had followed {reg59?her:him} from battle to battle, and said {reg59?she:he} was leaving without revealing {reg59?her:his} destination.^^{reg59?She:He} left us, I fear, to never return. I hope I am wrong, because this dark world still stands in need of {reg59?her:his} exploits.
qstr_BEDA_CHRONICLE^^{s2}^^|CRONACHE DI BEDA^^{s2}^^{s3}^^{s16}
; qstr_Little_news_has_reac|Little news has reached me about the young Caio. I do know for sure that he never returned to Hadrian's Wall, not even to visit his family. Last I heard is that he embarked on a Danish expedition headed to Konstantinoupolis.
; qstr_^^Egil_returned_to_R|^^Egil returned to Ribe, his home, made rich by the spoils of his adventure. He spent all his money on women and ale, and ended up dead in a duel shortly thereafter.
; qstr_^^Brunhild_married_a|^^Brunhild married a Dane, despite having always hated them, and settled near Jorvik. A merchant told me that currently she is a happy mother with three children.
; qstr_^^The_fate_of_Donnac|^^The fate of Donnachdh was dark. He returned to Alban, where he recruited a crew of Scots to pillage the Norwegian merchants in the Sea of Hibernia. The Norwegians of Dubh Linn put a price on his head, gave chase and killed him in an epic battle that the bards still sing about at the court of Alban.
; qstr_^^Morgant_returned_t|^^Morgant returned to Cornubia and sought to unite the clans to try to recover the territory of the old Kingdom of Dunmonia, but was unsuccessful. Many were simply abandoning their homeland for the other side of the channel, which amazingly enough failed to reduce the many rivalries. In the end, he gave up and retired to the monastery of Petrockstow, where I know he took vows.
; qstr_^^Dwywei_was_one_of_|^^Dwywei was one of the few who did not give up after the departure of {playername}, and I know she left in pursuit of him. She loved him despite all that happened, and was willing to travel the world to find him. I don't know if she was successful or if she is even still alive.
; qstr_^^Dwywei_despite_all|^^Dwywei, despite all the past, never resigned herself to the departure of {playername}. I heard she left in pursuit of him.
; qstr_^^Reginhard_returned|^^Reginhard returned to Dorestad where he married Adda, the shopkeeper, and they had a son named Thiaderd. Their marriage was a happy one, but it didn't last. The latest news is that, tormented by his double betrayal, first of Thiaderd and then of {playername}, he returned to his vice.
; qstr_^^About_Clovis_he_re|^^About Clovis, he returned to Frankia where he took land and wife. But he seems to want to forget the past and does not receive my messengers.
; qstr_^^The_beautiful_and_|^^The beautiful and indomitable Solveig decided to continue {playername}'s revenge on the family of Sven Bull Neck on her own. She returned to Danmark, where she hunted and killed all the brothers of Sven, along with their families. The Thing sentenced her to death, so now she's hiding somewhere among other bandits and exiles.
; qstr_^^The_loeknir_the_ph|^^The loeknir, the physician, Asbjorn returned to Odinsve, the home of his parents, weary of war. He puts his knowledge to use helping cure people, all for just a few peningas -- even free to anyone who asks. His fame runs throughout the north, and people worship him like a saint.
; qstr_^^Helgi_was_very_fon|^^Helgi was very fond of {playername}, despite all the past, and when she left, he plunged into a terrible depression. The last thing I know is that he went back east and became a Rus, hoping more blood would soothe his grief.
